"ly","ll","lk"
3.4679,2.6603,2.1667
4.8956,3.5049,3.2786
3.6685,2.4751,3.0033
5.5212,4.0857,3.6782
4.5557,3.447,2.8384
4.4625,2.7061,2.3878
3.7854,2.2874,1.9079
5.3303,3.5349,4.1422
4.455,3.1929,3.4241
3.9043,2.9391,3.3415
4.2708,2.4341,3.2128
3.8566,3.1018,3.1923
4.8961,2.4248,2.9226
4.6289,3.1389,3.3227
5.1783,3.8338,3.122
5.4623,3.2706,3.3453
4.394,2.8525,3.4091
5.2721,2.8534,3.2056
4.7483,2.8637,3.0641
3.3825,2.5556,2.2962
4.6207,3.3371,2.5423
5.6152,3.3674,3.5667
4.4085,2.7323,2.4682
3.6813,1.9572,2.1575
3.9251,2.6381,2.1489
4.1097,2.7498,3.0593
3.2228,2.0782,1.7604
5.6831,3.1544,4.1621
2.8564,1.9394,2.0158
3.6471,3.6122,3.2236
4.0195,2.2182,2.3199
5.7481,3.1731,3.4854
4.7276,3.5136,3.5508
3.6855,2.343,2.1136
5.4091,3.3887,4.4993
5.226,3.7087,3.9135
4.221,2.7922,3.3868
4.1536,2.7549,2.9145
4.6102,3.2225,3.8685
4.6558,3.305,3.9484
4.2598,2.4424,2.7888
4.7599,3.0628,3.369
4.148,2.8664,2.387
5.6829,3.7953,3.9355
5.106,3.5164,3.5166
4.7804,2.3885,2.8658
4.7132,1.9379,2.231
3.3703,2.1393,2.2993
5.7286,4.5129,4.5022
4.8031,3.3006,3.1427
3.3122,2.034,2.0849
4.3392,2.9831,2.8228
4.6415,2.4426,3.7109
3.807,2.0151,2.1004
4.1165,2.6884,2.9385
4.6274,2.9286,3.41
3.6578,2.4812,1.4434
4.7513,4.2142,3.7292
2.8365,2.3531,2.5055
4.4401,2.011,3.028
5.5867,4.4294,4.1528
4.9109,3.5652,3.6722
5.324,3.5869,4.4377
4.3422,2.6821,3.46
4.2196,2.8723,2.8581
5.2896,2.8058,3.7964
5.2613,2.1683,2.91
4.8836,3.3419,3.2264
4.6897,3.6831,2.8275
3.8715,1.6055,2.6158
4.313,2.8385,3.2401
4.6545,3.0656,2.9267
4.6573,2.4053,2.9264
4.7138,3.0969,3.2545
4.2789,2.9886,3.384
4.5896,2.3821,2.6061
3.1393,2.6586,2.3692
4.3337,2.8284,3.6363
4.3425,2.7678,3.5284
5.5899,3.1942,3.5365
4.9897,2.892,2.8091
4.8009,3.0872,3.5384
5.244,3.181,3.647
5.862,4.2139,5.0436
4.7631,3.4236,3.5571
4.6006,3.9633,3.4633
3.881,2.3661,2.2193
3.525,2.0014,1.7371
4.5037,1.8754,2.9798
4.9009,3.4356,3.5749
4.4582,2.2971,3.1561
5.1782,3.023,2.7091
3.9083,2.0118,2.2483
5.5556,4.1131,4.0082
3.7785,2.1203,2.268
6.1527,4.7945,4.4755
4.798,3.424,3.0243
5.9507,3.551,3.4336
4.3097,2.457,3.0305
5.3713,3.7037,3.2209
4.9746,3.3911,4.0863
4.7753,2.8513,3.1889
5.5702,3.9282,4.6058
4.6726,3.4036,2.9841
4.3645,2.4577,3.8289
5.4829,3.8949,4.1443
3.8568,2.3838,2.8228
4.8491,2.7351,3.4677
3.852,2.7368,2.6127
3.2489,2.0517,2.3315
5.455,4.3126,4.114
4.3653,2.729,3.3022
5.0579,3.8038,3.7719
5.008,2.9336,3.0255
4.6494,4.2279,3.7802
4.1562,2.8731,2.9565
4.1807,2.6106,2.9812
5.1079,3.0164,3.5213
4.0191,2.8775,3.2168
3.9239,3.1621,2.905
4.6475,3.9428,3.5514
4.963,3.3925,3.1673
3.9305,2.4935,2.2159
2.2611,1.7265,1.9465
4.4725,3.0304,3.0523
5.5385,2.9069,4.1256
4.469,3.0273,3.0186
4.8938,3.4298,3.8746
4.1177,2.2306,2.2566
5.5677,3.1586,3.7051
5.0981,2.9473,2.8432
4.3357,3.145,2.1517
4.7192,3.0961,3.4959
5.6223,2.9208,2.8075
3.6797,3.2617,3.0809
5.5182,3.0528,3.5595
4.5943,3.299,3.3507
4.4528,3.483,3.8086
4.7686,3.1703,2.0922
4.2865,3.6574,2.6331
6.1746,3.7515,3.8396
3.4852,1.6772,2.4295
4.271,2.9537,2.3272
4.3844,2.4517,2.6401
4.8374,3.4931,3.638
5.5176,4.3115,4.6714
5.697,3.8539,3.9701
3.9458,2.9403,3.129
4.3542,3.2891,2.666
5.5207,2.883,3.002
5.671,4.1536,5.163
4.1924,2.9463,3.7569
4.0719,2.786,3.2319
4.7355,2.8424,2.2134
4.4513,3.0497,2.3619
4.8682,2.0593,2.6988
3.8267,2.853,2.9822
4.0943,3.218,3.0527
6.206,4.3731,4.1342
4.8023,2.9804,2.9552
5.1127,2.6362,2.9327
4.4621,2.7255,2.7132
5.1242,2.5559,2.8107
4.3841,2.9604,3.765
3.4577,2.2502,2.2064
4.5624,2.7652,3.2083
3.7397,3.0384,2.4227
4.4315,3.2042,2.3676
4.9275,3.1779,3.2912
6.0005,3.9098,4.5099
4.3854,2.813,2.9289
4.2209,2.1811,2.5787
3.826,2.4757,3.203
4.4653,2.0904,3.0783
5.0062,3.2458,3.3363
5.1754,3.0816,3.6703
4.6482,3.6137,3.9248
3.8985,2.5214,3.0945
4.4471,2.617,3.1629
7.045,4.6953,5.2915
4.0975,2.4895,2.4487
3.7174,2.6576,2.8346
3.6235,3.3592,2.8716
4.6192,3.5124,3.1463
5.1369,3.9292,3.611
6.0159,3.5527,3.597
5.2835,2.8148,3.2836
4.8704,3.2592,3.6473
5.6657,3.0856,3.7265
3.9205,3.2744,2.6478
3.8845,2.8607,2.8426
4.6603,2.7416,3.1602
4.4931,3.3448,3.0439
5.2567,3.5482,3.9011
5.9364,3.3142,3.139
6.6168,4.4919,4.4716
3.9733,3.0941,2.5637
3.9923,3.0281,2.5406
3.8948,2.9611,2.7419
4.5522,2.6111,3.2292
5.6198,4.0772,4.4673
5.846,4.2365,3.5586
4.7097,3.463,3.9627
5.6885,3.3072,3.7409
4.8646,3.2842,3.9513
4.7719,4.0513,4.0763
4.4525,3.0658,2.6894
4.6971,3.2454,2.8269
5.2914,4.2484,3.8303
5.1851,3.7595,3.1744
5.2908,2.9531,3.0571
4.184,3.1258,2.7635
3.4069,2.8122,2.4302
4.9307,3.3824,3.3247
4.2146,2.5711,3.8392
3.6844,2.7379,2.1643
5.0643,3.1608,3.4602
4.0721,2.6269,2.1868
5.1999,3.5493,3.1762
4.6013,3.6667,3.2242
4.205,2.7362,2.3883
5.2951,3.3389,3.5162
4.4875,1.8904,2.7826
4.7569,3.2401,3.477
4.7431,3.8837,3.0691
4.8894,3.1864,3.8258
3.3425,2.656,2.4466
5.4552,4.1264,3.52
4.3271,2.693,3.0691
3.9088,2.5336,2.6902
4.8904,3.3855,4.1975
5.5226,3.6214,4.1295
3.8947,2.7302,2.9088
4.85,4.2532,4.1433
4.1803,1.9188,2.3191
6.0934,3.9344,3.3433
4.355,3.2912,3.169
4.6929,3.1798,3.0178
4.4698,3.0768,2.4659
5.2647,3.1763,3.7384
5.5838,3.1999,3.4249
3.2677,2.026,1.8429
3.6589,2.8608,2.4971
5.2297,3.4721,4.0555
4.5454,2.3946,1.9847
4.7506,3.1945,3.3382
5.2885,3.5757,3.507
5.4325,3.382,3.6843
3.589,1.8865,3.1457
3.1396,2.186,1.4387
5.0481,3.11,3.5977
4.4324,3.9107,3.283
5.1774,3.5792,3.9701
4.8103,2.9085,3.2887
4.6602,2.2254,2.5365
4.3973,3.2499,3.2993
5.2144,3.2293,3.2982
3.9965,3.0682,3.2713
2.9109,2.6442,2.2829
4.7027,3.1819,3.4053
2.9277,3.0877,2.7717
4.3023,3.2017,3.9198
4.086,2.538,2.8218
3.1014,1.5755,1.957
4.6437,3.1837,3.1389
4.9645,3.8437,3.5638
5.0777,3.079,3.3362
4.6993,3.3812,2.703
3.6267,3.2271,2.6858
3.7609,3.0838,2.4972
4.7942,2.95,3.0924
5.0419,3.4742,4.0078
3.6756,1.5212,2.0059
5.6471,4.0072,2.9393
5.9731,2.9774,3.906
2.7918,2.7214,2.194
4.2792,2.2525,2.9646
4.8103,3.1218,3.3834
3.7734,2.6178,3.1235
3.2551,1.7127,2.2196
3.4419,1.4165,2.1986
5.0197,3.3863,3.2293
4.0481,2.8464,3.0902
4.92,4.1215,3.2649
4.6593,3.2464,2.8705
3.0163,3.0412,1.7852
6.0456,3.6756,4.3253
4.6916,2.6085,3.4114
4.901,3.1379,3.6145
4.0497,2.3843,3.7606
5.5691,4.0074,4.925
5.6409,3.9537,4.1547
5.1932,4.2315,4.0399
3.8224,1.8898,1.5743
4.4584,3.9428,3.4187
2.8847,2.7921,2.1321
4.3958,2.2332,3.0434
4.617,3.182,3.5448
4.2067,2.4318,2.908
4.2962,2.9312,3.1212
3.0489,3.0209,1.9298
5.0743,3.1134,4.0454
3.7861,2.3562,2.665
5.8779,4.0707,4.2216
4.6842,3.9957,3.5463
5.3212,3.4012,3.9956
4.5455,3.2905,2.9592
4.7302,2.6178,2.8546
3.9457,2.3293,1.9073
4.4043,2.9407,2.8621
3.1253,2.4937,2.3379
4.7353,2.4027,1.9028
4.9737,2.7452,3.4366
4.6481,2.795,2.997
4.1905,2.3951,2.801
4.3293,3.5308,3.3416
4.7342,3.1785,3.5205
5.0274,2.4999,3.6458
4.6911,2.893,3.1753
3.8413,2.034,2.125
4.4949,2.6103,3.0217
3.841,2.8869,1.9285
5.0989,3.3621,3.4217
5.3474,4.1961,3.5969
4.3659,2.8236,3.1533
2.8968,3.0577,2.6687
3.8132,2.2812,2.2979
4.1699,2.1875,2.1292
3.5511,2.0744,2.1032
5.76,3.8662,3.9471
