consumption,educ_head,hhsize,female_head,ethnicity,has_clinic,village
508,0,2,1,5,0,7
340,10,6,0,1,0,38
358,3,5,0,1,1,48
639,6,5,1,2,0,49
314,5,2,1,5,1,14
200,1,6,0,2,0,16
833,9,2,1,3,0,49
283,0,5,0,1,1,50
398,6,7,1,2,0,36
382,5,4,0,3,1,35
336,11,9,0,1,0,1
642,9,2,0,2,0,32
439,9,7,0,5,0,36
252,4,2,1,1,0,23
234,8,9,0,3,1,44
516,11,5,0,3,0,32
258,8,5,0,3,1,17
549,6,4,0,1,0,5
772,8,5,0,4,0,21
507,9,8,1,4,0,36
262,2,5,0,2,0,10
688,5,1,0,5,0,49
362,3,11,0,5,0,30
649,3,4,0,3,0,1
384,0,4,0,1,1,35
334,7,3,0,2,0,36
272,6,7,1,5,0,47
252,8,8,0,3,0,19
695,3,4,0,2,0,11
394,7,6,0,2,0,34
153,2,8,0,5,0,9
280,3,3,0,1,0,12
523,5,5,0,5,1,17
275,7,6,0,1,1,18
231,5,5,0,2,1,50
517,6,10,0,4,1,18
726,10,2,1,1,0,29
166,4,3,0,5,0,46
259,10,7,0,2,1,44
548,5,2,0,1,0,38
435,9,5,0,3,0,11
369,9,6,0,1,0,46
331,4,6,0,4,0,4
296,5,4,0,3,0,11
659,9,4,0,1,0,1
1474,6,5,0,5,0,34
322,3,8,0,4,0,30
420,3,1,0,2,1,18
608,9,5,0,3,0,45
480,0,7,0,4,1,39
323,8,7,0,1,0,19
1150,0,5,0,4,0,41
179,3,9,0,4,1,37
838,3,6,0,1,0,22
593,9,5,0,2,1,50
553,7,5,1,4,1,35
164,8,2,0,5,0,4
603,9,5,0,2,1,15
280,0,5,0,3,1,44
541,8,7,0,5,0,26
414,12,5,1,5,0,33
522,5,4,1,5,0,19
506,11,8,0,1,0,32
239,7,7,0,3,0,26
436,9,2,0,4,0,1
429,7,3,1,5,1,31
633,12,3,0,4,1,48
352,4,3,0,1,0,26
195,8,5,0,4,1,24
173,3,6,0,1,0,2
367,3,6,1,1,0,38
144,10,1,0,3,0,25
240,4,11,0,4,0,23
269,4,3,0,1,1,3
458,7,7,1,4,1,35
354,13,9,0,1,0,42
441,6,7,0,3,1,18
407,6,5,0,1,0,25
842,12,2,0,3,1,31
794,5,6,0,4,0,30
473,3,8,0,5,1,35
385,5,4,0,5,0,34
1003,4,2,0,1,0,21
396,8,4,0,4,1,27
293,0,5,1,3,0,23
535,5,4,0,1,0,5
214,2,3,0,2,1,35
465,6,3,0,3,0,46
1059,6,5,0,1,1,39
1207,9,5,1,3,0,30
279,4,3,0,1,0,8
319,5,3,0,5,1,50
463,5,7,0,3,0,30
422,7,8,0,2,1,40
625,9,7,1,1,0,47
504,5,1,0,3,1,18
440,6,5,0,2,0,34
506,4,3,0,5,1,15
521,5,4,1,2,0,26
401,4,2,1,3,1,44
482,8,5,0,4,0,12
826,9,3,1,4,0,22
264,13,5,0,2,0,8
455,6,7,0,1,1,31
542,7,7,1,1,0,45
152,5,6,0,1,0,25
933,7,6,1,2,0,22
438,7,5,0,3,1,3
217,3,5,1,1,0,46
179,0,7,0,5,1,44
164,6,9,0,1,0,2
571,7,8,0,4,0,41
376,2,7,0,1,0,19
1571,0,2,0,3,1,39
421,1,5,0,5,1,39
381,8,5,0,4,0,8
408,5,3,0,3,1,50
200,7,4,1,4,1,37
560,4,6,0,1,0,5
428,3,7,0,1,1,13
508,7,4,0,1,0,45
312,5,3,1,2,0,45
356,0,8,1,2,0,41
640,9,4,0,1,1,13
744,6,7,0,3,1,13
563,0,8,0,5,0,49
490,7,8,0,4,1,40
412,8,4,0,2,1,3
309,2,7,0,2,0,36
380,2,4,0,4,0,33
384,1,5,0,1,0,41
312,10,8,0,5,0,36
352,8,8,1,2,0,33
453,7,5,0,4,0,23
513,3,4,0,2,0,1
556,9,4,0,4,0,1
364,6,4,1,1,1,50
270,0,7,0,3,1,15
1260,1,1,0,4,0,49
336,5,7,0,1,1,37
660,3,3,0,2,1,18
360,5,5,1,5,1,31
1466,7,5,1,3,1,13
739,9,5,0,4,0,49
576,7,3,0,1,1,40
559,9,6,0,1,0,36
210,5,3,1,2,0,10
770,6,3,0,2,0,49
526,7,5,0,4,1,35
464,6,5,1,2,0,1
544,8,10,0,2,0,49
247,4,7,0,3,0,5
193,6,7,0,5,0,46
491,8,4,0,3,0,19
799,4,5,0,3,0,23
574,9,1,0,1,0,46
615,4,7,0,3,1,18
652,4,3,1,1,1,20
440,6,7,0,2,0,12
277,6,3,0,3,0,28
595,9,6,1,3,0,41
545,12,5,0,5,0,12
181,3,7,0,5,1,3
384,0,10,0,4,1,39
1764,13,3,0,1,0,21
185,6,6,1,1,0,33
1044,8,6,1,2,0,34
258,5,4,1,1,0,5
426,5,7,0,4,0,26
183,7,2,0,4,0,43
660,9,2,0,2,0,29
355,5,1,0,4,1,27
260,7,6,0,2,0,49
746,6,5,0,1,1,13
535,0,5,0,1,0,26
331,6,4,1,1,0,41
356,10,4,0,2,1,15
226,8,9,0,5,0,25
382,5,7,1,3,0,21
931,3,1,0,1,0,49
1236,11,3,0,2,0,49
502,5,10,0,4,0,12
848,9,6,0,3,0,32
279,4,3,0,2,0,19
269,1,4,0,5,0,11
386,4,6,0,1,0,42
689,7,5,0,4,0,29
314,3,3,1,1,1,40
148,4,8,0,2,1,37
349,9,4,1,1,0,2
239,9,11,0,2,1,37
606,6,3,0,3,1,48
144,0,9,0,5,1,48
365,4,5,0,1,0,46
216,5,6,0,5,1,20
673,3,4,0,1,0,21
163,6,4,0,5,1,44
726,5,7,0,1,0,26
282,1,2,1,4,0,21
619,6,2,0,1,0,16
1011,9,5,0,2,0,41
377,9,2,0,4,0,26
425,7,10,0,3,1,37
538,4,3,1,2,0,49
239,6,11,0,3,0,26
424,6,5,0,2,1,18
211,7,2,0,1,1,14
639,8,5,0,4,0,2
235,6,7,1,3,0,46
203,8,8,0,3,1,37
680,1,5,0,4,0,49
212,3,7,0,4,0,2
418,5,6,0,2,0,9
254,8,5,0,3,0,7
327,4,1,0,3,1,48
288,6,5,0,2,0,36
369,4,5,0,2,0,10
523,6,4,0,4,0,23
341,4,6,0,2,0,4
316,6,7,0,4,1,24
811,10,7,0,4,1,13
456,8,7,0,1,0,32
298,5,8,0,4,0,42
333,7,4,1,1,1,3
222,7,7,0,1,0,10
398,8,9,0,4,0,12
283,2,6,0,1,0,1
342,3,5,0,4,0,2
486,5,6,0,4,1,18
562,10,3,0,4,1,40
458,5,6,0,2,0,45
314,8,7,0,1,0,6
302,6,8,1,2,0,9
486,14,5,0,3,1,35
460,7,8,0,1,0,42
318,8,7,0,4,0,33
1288,5,7,0,3,0,22
156,8,7,0,2,0,10
1001,3,8,1,3,0,46
437,5,2,1,3,1,37
223,2,5,0,1,0,6
408,9,5,0,4,0,25
259,8,9,0,2,1,20
504,1,2,0,5,0,47
293,3,6,0,1,1,48
204,2,4,0,2,0,46
461,6,5,0,2,0,5
699,7,5,0,2,0,34
412,4,2,0,2,1,27
166,8,8,0,5,0,28
713,5,7,1,3,1,40
274,0,3,0,3,0,19
754,2,6,0,1,1,13
915,0,3,1,2,1,3
339,10,7,0,4,1,18
250,6,12,0,3,1,24
783,2,2,0,5,1,39
251,4,5,0,2,1,50
330,11,3,0,4,0,42
476,7,3,1,1,1,37
246,2,7,1,3,1,14
496,7,5,0,1,1,20
431,5,3,0,5,0,33
410,3,3,0,5,1,37
323,7,7,1,3,0,2
377,3,3,0,4,1,37
534,6,5,0,1,0,41
753,3,7,0,5,1,13
496,5,5,0,2,1,31
226,5,5,0,4,1,37
309,1,7,0,2,1,17
644,3,3,0,2,1,17
386,11,7,0,3,0,25
514,9,3,0,4,0,26
753,8,5,1,4,0,34
592,5,4,0,5,0,21
1423,9,3,0,1,0,49
1184,11,2,0,4,1,35
243,8,3,0,2,1,14
411,4,6,0,4,0,29
410,3,6,0,2,1,50
926,8,4,0,2,0,21
268,2,9,0,3,0,11
262,8,4,1,4,1,14
508,4,3,0,2,1,14
606,10,5,1,2,0,41
429,9,5,0,1,0,2
339,1,4,0,5,0,8
511,8,8,1,2,0,41
156,3,2,0,3,1,44
261,2,3,0,5,0,2
557,2,3,0,3,0,10
486,7,3,0,1,0,8
378,4,4,0,2,1,3
244,2,6,0,2,1,14
230,7,8,0,3,1,3
320,5,6,0,2,0,38
572,6,6,1,1,0,21
400,3,9,0,3,0,49
357,5,6,0,1,0,32
334,8,7,1,1,0,36
266,2,2,0,1,1,15
273,7,5,0,5,1,37
344,6,8,0,3,0,36
177,4,7,0,2,0,2
622,12,2,0,4,0,6
659,4,8,0,4,0,26
603,5,7,1,5,0,29
393,11,3,0,2,0,10
878,2,4,0,4,1,20
370,5,5,0,5,0,23
715,6,6,0,4,0,22
395,2,6,0,4,0,30
375,2,8,1,5,1,27
541,9,2,0,3,0,6
152,7,3,0,4,0,4
876,2,8,0,4,0,30
270,6,5,0,5,1,37
545,10,7,0,3,0,30
471,9,5,0,2,0,45
761,8,4,0,3,1,20
327,3,5,0,1,1,35
455,6,4,0,4,0,7
288,7,3,0,2,0,43
359,13,6,0,4,1,50
222,5,6,0,4,0,7
354,9,1,1,4,0,16
506,5,7,0,2,0,2
426,9,4,0,5,1,44
193,7,4,0,3,0,28
1136,4,7,0,3,0,41
493,14,7,0,2,1,18
681,9,9,0,2,0,23
119,1,10,1,1,0,28
532,5,1,0,2,1,13
622,8,8,0,5,0,41
314,5,3,0,3,0,25
549,7,6,1,4,1,40
576,7,3,0,1,0,1
338,6,6,0,2,0,10
309,12,5,1,3,0,28
234,8,7,1,5,0,16
543,10,2,0,2,1,44
222,2,8,0,3,1,18
517,7,2,0,1,0,1
623,6,8,0,3,0,45
332,3,10,0,2,0,36
170,6,9,0,2,0,33
486,7,11,1,4,1,39
379,0,5,0,2,1,37
768,7,4,0,4,0,30
294,5,3,0,2,1,50
512,8,2,0,5,1,50
457,10,5,0,2,0,2
298,3,7,0,2,0,7
943,8,5,0,1,0,22
473,4,6,0,5,0,7
250,4,5,1,2,0,33
190,7,6,0,3,0,4
255,7,4,1,2,1,14
447,5,4,1,2,1,40
324,5,7,0,4,0,5
334,8,7,0,4,1,14
382,2,8,0,1,1,37
340,8,3,0,2,0,33
629,4,8,0,1,1,27
302,6,7,0,4,0,7
310,10,11,0,1,0,16
625,9,4,1,1,1,20
861,10,2,0,2,0,22
419,4,7,0,5,1,37
381,2,7,0,4,0,21
359,10,2,1,5,0,46
844,6,2,1,5,0,23
431,6,3,0,4,1,48
420,4,3,0,1,0,49
361,5,5,0,3,0,6
840,13,8,0,1,1,13
263,3,4,0,4,0,26
262,1,8,0,5,0,26
816,9,3,0,3,0,45
354,11,6,0,1,0,5
241,6,5,0,5,1,44
366,5,8,0,2,0,2
406,8,5,0,3,1,14
324,5,6,0,2,0,8
204,3,10,0,2,1,37
253,6,2,0,5,0,28
609,4,4,0,4,0,45
310,7,6,0,1,0,33
705,11,3,0,3,0,12
562,4,4,0,2,0,45
445,4,4,0,2,1,3
441,7,2,0,1,0,9
681,8,4,1,4,0,23
784,5,7,1,5,0,5
647,5,4,1,5,1,27
470,6,5,0,4,0,11
513,4,6,0,1,0,46
276,5,11,0,2,0,49
265,7,4,0,2,0,46
359,7,4,1,5,0,4
408,6,1,0,5,1,44
338,4,7,0,4,0,21
302,4,9,1,2,0,49
260,2,8,0,3,0,25
787,1,5,0,2,0,49
142,5,9,1,3,0,32
323,7,7,0,3,0,28
232,3,3,0,2,0,43
575,8,6,0,4,1,20
380,7,2,0,3,0,45
674,6,7,0,1,0,49
393,3,4,0,1,0,2
491,5,5,0,5,1,17
228,1,5,1,5,0,16
410,4,3,0,1,0,19
166,1,7,1,2,0,43
314,3,4,0,2,0,4
223,5,3,0,2,0,36
133,4,8,0,2,0,25
525,5,6,0,2,1,13
464,2,6,0,5,0,32
398,3,7,0,1,1,20
275,8,4,1,3,1,20
349,5,5,0,5,0,2
333,5,8,0,4,1,17
297,6,6,0,2,1,37
187,7,5,0,2,0,43
295,10,5,0,1,0,33
252,12,8,1,4,0,42
890,10,7,0,1,1,3
257,0,7,1,4,0,11
283,7,7,0,2,0,45
136,6,6,0,1,0,4
268,5,8,0,5,0,25
239,4,3,1,3,0,28
139,4,2,0,3,0,28
217,8,4,0,3,0,10
511,2,2,1,3,1,39
627,9,7,0,5,1,27
538,8,3,0,1,1,15
360,4,3,0,2,0,45
518,7,6,0,5,0,21
610,9,5,0,2,0,5
389,3,2,0,5,1,37
496,6,6,0,2,0,26
500,4,4,1,3,0,6
1274,8,4,0,5,0,30
703,11,5,1,5,1,15
240,5,5,0,4,0,36
224,9,5,0,4,0,47
1226,6,4,0,3,0,45
361,12,3,0,5,1,24
300,8,6,0,4,1,44
1122,15,2,0,2,0,1
377,6,3,0,1,0,9
444,1,4,0,4,0,1
373,3,1,1,5,1,14
202,10,2,0,1,0,19
389,2,5,0,5,0,49
363,6,4,0,4,0,2
205,7,4,0,3,0,28
722,3,2,0,4,1,20
273,5,5,0,2,0,26
393,5,5,0,4,0,29
446,3,3,1,2,1,39
358,5,5,0,2,1,24
401,8,8,0,4,0,42
358,4,5,0,3,0,11
383,9,5,0,1,0,33
347,0,5,0,5,0,21
392,7,5,0,4,0,9
228,9,6,0,2,0,46
154,4,3,0,5,0,4
226,2,6,0,1,0,36
284,9,9,0,5,0,4
176,4,7,0,2,1,14
205,1,6,1,4,0,4
175,5,8,0,1,0,28
699,8,3,1,1,0,16
614,11,3,0,5,0,47
238,6,2,1,2,1,31
557,8,6,0,3,0,34
427,3,6,1,5,1,18
428,7,6,0,1,1,40
675,6,6,0,2,0,38
212,3,7,0,3,1,14
603,9,4,0,5,0,19
407,4,7,0,3,1,40
397,11,7,0,5,1,14
991,10,4,1,4,0,21
380,8,4,0,3,0,10
633,2,1,0,3,0,45
525,7,6,1,1,1,20
764,5,4,0,4,0,45
623,4,5,1,1,0,49
245,1,4,0,4,0,22
535,12,2,1,4,0,19
410,3,6,0,1,0,12
240,7,3,1,1,0,8
507,8,3,0,3,0,8
560,8,3,1,4,0,26
293,1,5,1,5,1,40
362,4,2,0,2,0,1
130,3,7,0,5,1,14
452,4,9,0,5,0,49
247,5,3,0,5,0,6
377,4,9,0,2,0,38
861,10,5,0,3,0,22
336,9,3,0,1,0,47
327,3,4,1,3,0,33
590,6,6,0,5,0,12
346,7,3,0,4,1,37
869,5,4,0,3,1,24
405,6,4,0,1,0,10
530,5,4,0,3,1,44
395,6,6,0,1,0,45
272,2,2,1,1,1,44
294,7,9,0,5,0,46
543,3,5,0,4,0,49
286,3,5,0,3,0,10
326,0,7,0,2,0,23
382,5,2,0,5,0,26
455,10,5,0,1,0,6
220,5,4,0,2,0,43
645,14,6,0,2,0,21
77,1,9,1,3,0,36
262,0,8,1,1,1,18
776,4,6,1,5,0,21
637,5,3,1,4,0,38
252,2,7,0,5,1,14
338,8,3,1,5,0,10
917,8,2,0,2,0,22
467,3,2,0,2,0,38
933,6,5,1,5,0,34
642,4,4,0,3,1,39
587,5,4,0,3,0,22
767,10,8,0,2,0,38
198,9,3,0,5,0,33
339,5,6,1,3,0,12
493,0,5,0,1,1,48
94,1,4,1,3,0,28
748,5,4,0,1,0,34
640,13,5,0,1,1,35
212,8,8,0,3,0,33
538,7,1,1,4,0,25
167,6,6,0,3,0,47
283,6,3,0,4,0,28
312,4,3,0,3,0,10
408,7,8,0,4,1,3
605,5,5,0,5,1,13
234,7,6,0,3,1,48
342,6,5,0,5,1,50
1188,10,3,0,5,0,32
294,4,7,0,3,1,35
337,6,7,0,2,1,40
772,1,6,0,1,0,26
444,10,5,1,3,1,27
615,6,1,0,2,0,38
284,2,3,1,1,0,12
317,6,4,0,5,0,25
256,10,8,1,4,1,50
496,4,3,1,3,0,22
257,8,3,1,2,0,25
502,7,6,0,4,0,21
864,8,7,1,1,0,30
405,3,6,0,4,0,16
291,5,6,0,3,0,41
260,7,2,0,1,0,33
709,8,4,0,4,0,5
343,9,6,1,2,0,6
261,5,2,1,5,1,31
227,4,7,0,5,0,43
671,4,1,0,2,0,41
363,7,9,0,3,0,45
992,10,4,1,4,1,13
235,9,7,0,3,0,25
214,4,5,0,2,1,15
131,7,11,0,2,0,4
237,6,3,0,2,0,33
278,6,5,1,5,0,38
179,9,4,0,1,0,7
321,3,1,0,3,1,24
704,5,5,0,5,1,40
523,5,7,0,5,0,21
531,7,1,0,4,0,29
292,6,4,0,4,1,20
319,7,6,0,3,0,43
343,8,2,0,2,1,3
411,7,5,1,2,1,44
228,6,8,1,1,1,44
211,6,3,0,2,1,44
501,10,5,1,3,1,17
193,7,9,0,4,0,19
383,4,4,0,4,0,6
364,2,9,0,4,0,22
281,9,3,1,4,1,17
344,9,2,0,3,1,50
292,7,3,0,1,0,43
144,6,6,0,4,0,10
395,8,7,0,3,0,36
553,2,3,0,1,0,9
293,7,5,1,3,0,4
383,12,1,0,4,0,16
283,2,3,0,1,1,44
125,3,4,0,2,0,43
227,6,6,0,3,1,50
394,7,3,0,1,1,37
495,6,5,1,2,0,12
311,7,3,1,4,1,14
270,9,8,0,2,0,16
489,7,6,0,1,0,45
638,2,1,0,3,0,41
446,6,4,0,2,0,42
500,4,3,0,4,1,24
220,7,3,1,3,1,31
763,6,7,0,2,0,1
226,5,6,0,1,1,48
207,7,2,0,3,0,4
799,6,4,0,4,1,39
692,5,8,0,4,0,22
349,9,7,0,2,0,8
313,7,5,0,3,1,35
337,4,2,0,3,0,28
295,6,4,0,4,1,18
341,9,8,1,4,1,37
226,3,5,0,5,1,14
352,7,3,1,1,1,17
205,6,6,0,2,0,2
220,5,5,0,1,0,25
210,8,7,1,5,0,28
400,6,7,0,5,1,35
386,0,4,0,4,0,11
239,7,6,0,3,0,25
163,4,4,0,1,0,28
711,5,3,1,1,1,14
817,9,6,0,1,0,22
1008,5,5,0,5,0,1
349,10,3,0,5,1,44
362,9,5,0,1,0,42
177,8,7,1,4,1,14
324,6,1,0,2,0,9
241,8,4,1,2,0,4
179,3,6,1,2,0,47
229,7,4,0,4,0,42
501,4,6,1,3,0,46
519,9,3,0,1,0,11
294,11,4,1,1,0,4
333,7,5,0,5,0,4
610,5,5,1,2,0,23
325,5,7,0,5,0,12
743,4,5,0,2,1,13
217,11,12,1,1,0,46
592,7,3,0,2,1,15
511,9,4,0,2,0,46
405,7,7,0,3,1,40
377,3,6,0,3,1,24
251,3,7,1,1,0,49
423,10,4,0,1,0,25
344,4,5,0,2,0,8
462,1,5,0,3,1,40
452,5,2,0,4,1,44
493,7,6,0,5,0,45
156,7,6,0,5,0,36
197,8,9,0,3,0,28
304,5,3,1,2,1,24
266,0,3,0,4,1,50
286,9,12,0,4,1,48
378,9,7,0,1,0,36
211,2,2,1,2,0,8
242,6,4,0,3,0,4
304,2,9,0,1,0,25
370,7,6,0,1,1,31
510,6,6,0,1,0,30
363,4,5,0,5,0,6
236,4,6,0,2,0,12
721,11,4,1,2,0,22
366,6,3,0,5,0,5
668,11,4,0,1,0,46
777,9,2,0,3,1,17
309,1,7,0,2,0,1
999,8,2,1,4,0,22
511,5,6,0,5,1,35
396,5,7,0,1,1,17
605,10,4,0,5,0,5
294,6,5,0,2,0,36
811,5,6,1,3,0,38
408,5,5,1,5,0,45
274,9,2,0,2,0,46
448,8,8,0,3,1,15
425,10,4,0,5,0,11
503,9,7,0,4,0,45
250,5,2,0,5,0,4
390,6,2,0,1,0,25
364,5,3,0,1,1,24
174,9,5,0,1,0,2
439,5,6,0,1,0,9
317,5,3,0,3,0,9
504,9,3,0,5,1,14
841,11,8,0,4,0,21
439,11,4,0,1,0,38
545,4,4,0,3,1,40
572,5,4,0,4,0,45
202,11,2,1,5,0,43
306,2,8,0,5,0,7
146,2,7,1,3,0,19
341,7,6,1,5,1,3
285,11,5,0,4,0,5
421,6,6,0,1,0,8
635,11,5,0,2,0,32
