wage,tenure,training,occupation,union,exporter,firm
10.68,8,6,1,1,0,32
18.07,6,18,5,1,0,41
10.18,12,0,2,0,0,34
21.53,14,25,4,0,1,19
17.49,11,18,4,1,1,38
19.85,11,10,4,0,0,41
26.45,8,44,5,0,0,60
13.72,2,19,3,0,0,10
15.92,12,26,6,0,1,1
15.83,6,11,2,0,0,12
19.89,2,27,2,0,0,54
10.71,0,33,4,0,0,53
12.14,6,33,3,1,1,39
25.2,11,14,3,1,0,47
17.78,13,23,3,0,0,28
23.18,11,35,4,0,0,56
28.05,0,7,4,0,1,4
18.88,3,22,3,0,1,51
10.53,8,21,3,1,0,54
19.63,3,3,5,0,0,56
11.45,11,17,2,0,0,28
14.82,13,0,4,0,0,49
29.03,5,36,5,0,1,51
13.87,12,31,4,0,0,7
20.99,9,0,6,1,1,39
13.4,5,19,6,0,0,3
10.07,9,42,4,0,1,1
29.37,15,45,4,0,1,51
11.19,16,43,5,0,0,37
17.91,6,35,1,0,0,10
23.14,14,44,3,0,0,54
22.75,12,27,5,0,0,41
24.2,1,12,1,0,1,33
39.82,9,28,4,0,1,14
20.09,25,36,1,1,0,10
27.93,11,53,1,0,0,47
11.67,11,10,6,0,1,45
16,3,7,4,0,1,13
11,8,9,4,0,1,52
23.77,2,18,2,1,1,2
11.62,7,17,3,1,0,54
12.04,12,17,6,0,0,25
17.79,4,42,3,0,1,2
11.86,1,10,1,1,1,43
30.7,9,36,6,0,1,33
12.55,6,14,4,0,0,23
21.82,10,20,6,0,1,52
22.36,17,21,5,1,1,39
17.92,8,15,1,0,0,37
16.81,12,25,6,0,0,10
9.65,12,38,1,0,0,36
13.59,3,29,3,0,0,30
13.8,12,33,3,0,1,1
25.3,9,6,5,1,1,33
10.84,10,14,6,1,0,10
7.87,11,0,2,1,0,58
23.14,6,55,4,0,1,51
5.85,3,29,2,0,0,53
7.65,6,0,2,0,0,53
35.97,7,13,3,0,1,33
29.54,1,33,5,0,1,4
18.27,0,41,6,0,0,27
9.36,6,15,2,0,0,9
17.68,4,25,2,1,1,4
11.82,6,6,1,0,0,9
21.07,12,4,4,1,1,6
15.31,0,17,4,0,0,7
16.23,13,14,1,0,0,28
22.35,13,26,4,1,0,32
28.11,11,12,6,1,0,7
15.74,1,22,5,0,0,10
10.94,9,13,4,0,1,42
11.06,6,15,5,0,0,34
10.76,6,19,3,0,0,12
11.53,12,43,5,1,0,22
22.09,17,44,5,0,1,6
13.47,8,0,6,0,0,30
9.78,11,31,4,0,1,13
9.84,1,0,2,1,0,41
19.41,6,58,4,0,1,46
23.73,14,8,4,0,1,6
12.34,6,17,3,0,0,27
15.52,17,41,2,0,0,34
29.52,14,13,4,0,1,35
15.55,7,27,4,0,0,60
14.25,6,28,3,0,0,3
19.47,3,29,4,0,0,7
12.54,9,16,1,0,1,1
22.7,12,21,5,0,1,33
17.7,7,33,2,0,1,1
29.4,16,22,3,0,1,24
20.23,3,33,6,0,0,22
13.51,14,19,3,0,0,54
10.89,12,1,5,0,0,3
13.92,8,26,6,1,0,54
16.12,16,11,5,0,0,28
28.25,10,33,4,0,0,9
16.33,21,31,1,0,1,24
12.16,18,22,3,1,1,6
14.06,3,28,5,0,0,23
13.99,8,22,1,0,1,13
32.56,9,26,4,0,0,31
13.49,12,23,4,0,0,15
11.17,6,24,4,1,0,23
13.25,15,22,1,0,0,10
25.07,10,21,1,0,1,6
20.78,11,2,3,0,1,52
18.07,13,14,2,0,1,16
13.03,11,0,6,1,0,36
7.39,2,5,3,0,0,9
29.54,19,0,4,0,0,56
24.64,19,3,2,0,0,49
21.92,10,25,4,1,0,44
10.53,8,2,2,1,0,58
15.12,11,15,2,0,0,17
19.22,4,34,5,0,0,12
21.05,3,29,4,1,0,12
14.41,4,7,5,0,0,25
16.78,11,11,5,0,1,2
17.66,8,12,4,1,0,47
16.1,7,16,4,0,0,41
19.89,5,9,5,1,0,15
12.72,10,6,1,0,0,50
13.88,5,18,1,1,1,6
15.41,6,4,2,0,0,54
13.12,14,2,5,0,0,50
24.44,20,25,4,0,0,57
26.55,4,25,6,0,1,35
12.07,3,11,2,0,0,22
15.28,6,22,1,0,0,30
11.05,0,45,4,0,0,50
6.81,6,0,4,0,0,20
17.32,0,4,6,0,1,4
29.24,16,21,6,0,0,3
17.45,2,63,5,0,1,51
10.12,5,26,1,0,0,17
24.81,15,12,6,0,1,2
40.81,11,2,6,1,0,31
23.3,7,23,1,1,0,25
18.15,9,25,3,0,0,56
21.16,9,33,6,0,1,45
6.99,10,11,5,0,0,34
15.42,10,26,1,0,0,23
23.86,9,34,3,1,1,35
16,1,29,6,0,1,6
9.42,6,3,5,0,1,35
16.24,4,26,3,1,0,20
13.22,9,15,5,1,0,12
11.91,16,14,6,0,0,37
24.24,13,23,1,0,0,55
16.56,8,33,4,1,0,44
13.7,0,16,6,0,1,45
8.34,4,26,3,1,0,34
15.28,16,2,3,0,0,41
23.03,12,0,5,0,1,39
15.35,2,35,4,0,1,1
13.26,10,1,4,0,1,13
11.35,10,21,5,1,0,29
13.4,6,29,1,0,0,37
14.5,2,38,4,0,0,10
29.45,10,30,5,0,0,48
9.87,4,6,2,0,0,53
24.15,14,6,6,0,1,1
22.46,15,31,5,0,1,24
13.62,12,11,5,0,0,53
8.66,3,11,5,0,1,43
27.3,21,15,1,1,1,11
13.66,9,22,6,0,0,37
11.54,8,10,1,0,0,57
11.82,9,4,6,0,1,46
15.69,5,0,5,0,1,11
14.07,14,29,5,1,0,41
7.73,4,42,5,0,0,57
12.24,5,59,1,0,0,53
13.96,8,27,1,0,1,51
28.19,9,9,4,0,1,59
20.19,12,0,4,0,0,15
12.42,5,1,3,0,0,17
16.32,11,18,6,1,1,38
29.09,9,24,6,0,0,58
17.65,9,53,4,0,0,60
13.96,14,14,4,0,1,2
35.32,13,40,2,0,1,40
20.08,10,10,4,0,0,5
13.45,16,8,3,0,0,23
21.29,11,37,3,0,0,55
10.75,7,5,3,0,1,24
24.75,6,18,2,0,0,48
14.14,0,18,5,1,1,35
13.12,9,18,3,0,1,42
22.29,3,20,1,0,0,9
24.63,17,10,1,0,1,2
8.81,7,22,4,0,0,36
11.45,9,3,4,1,0,55
8.03,8,28,3,0,0,50
25.15,5,5,6,0,0,55
12.68,3,0,3,0,0,23
16.66,7,10,3,0,0,57
19.39,10,39,3,0,1,16
15.92,12,41,2,0,1,42
12.13,5,29,4,0,1,24
17.03,9,6,2,0,1,4
10.1,0,4,5,0,1,2
12,1,18,3,0,0,27
10.99,11,18,4,0,0,7
14.68,7,29,5,0,1,16
15.33,10,36,2,1,0,3
11.52,9,21,2,1,1,39
16.04,5,16,4,0,1,39
14.08,6,0,1,1,1,39
9.61,11,32,1,0,0,17
13.22,12,17,4,0,0,28
24.71,11,24,5,0,0,7
12.61,6,33,4,0,1,13
26.07,12,21,3,0,0,18
6.42,9,0,5,0,0,58
24.91,8,16,4,0,1,35
25.35,22,23,1,1,1,33
17.27,9,33,6,0,0,25
16.88,15,41,6,0,1,45
15.38,11,26,2,1,0,50
22.92,12,28,5,0,1,51
12.4,5,23,5,0,1,42
21.26,5,40,3,0,1,59
21.39,9,23,1,0,1,2
14.27,9,28,1,0,1,24
23.98,5,18,6,0,0,48
14.05,8,25,5,0,0,9
15.68,0,33,6,0,0,9
14.83,4,8,4,0,1,2
13.87,1,15,3,0,0,30
24.61,11,1,4,0,0,5
24.85,13,25,5,0,0,49
12.2,0,16,3,0,1,1
17.93,3,37,6,1,1,1
16.27,9,50,4,0,1,38
26.48,14,17,5,1,0,47
13.5,5,44,5,1,0,10
12.98,9,24,4,0,1,1
34.01,14,15,5,0,1,51
16.14,11,34,3,0,0,49
14.85,4,10,1,0,0,60
13.35,5,7,4,0,0,22
19.03,6,17,6,0,0,25
19.93,5,35,6,0,0,29
16.57,5,28,4,0,0,27
12.27,5,32,6,0,0,53
27.28,4,6,4,1,0,21
18.57,9,13,3,0,0,31
10.16,6,44,1,0,0,49
15.87,5,26,2,0,0,32
12.44,11,22,3,1,0,3
20.5,7,32,5,0,0,25
24.04,19,47,2,1,1,2
8.26,8,37,5,0,0,34
13.97,6,9,1,1,0,44
8.41,4,42,1,1,1,45
17.9,8,0,6,0,1,59
18.68,16,28,5,0,1,4
14.4,3,2,2,0,0,26
29.12,12,38,2,0,1,13
9.78,12,29,1,0,0,25
16.89,6,39,4,0,0,15
33.54,10,37,1,1,0,49
32.22,11,45,3,0,0,44
21.22,3,48,3,1,0,58
24.04,11,43,6,0,0,60
18.98,16,18,2,1,1,16
6.85,2,0,3,0,1,39
9.05,0,28,5,0,1,38
10.67,6,1,6,0,1,2
21.57,10,19,1,0,0,21
11.48,9,37,2,1,0,17
7.97,7,13,6,0,1,35
13.61,7,10,5,1,1,38
20.08,10,26,6,1,0,60
29.98,6,42,4,1,0,15
16.33,10,0,6,0,0,15
12.93,5,17,3,0,1,42
21.46,4,45,3,0,0,7
20.64,15,1,6,1,0,18
13.16,10,44,3,1,0,54
12.71,4,40,3,1,0,15
10.95,5,45,6,1,1,42
9.5,1,0,5,0,0,54
28.51,8,31,6,0,0,7
19.12,7,12,4,0,0,17
9.03,11,35,3,0,1,42
11.51,11,16,4,0,0,25
18.02,11,35,3,0,0,15
16.16,10,26,5,0,0,55
25.45,4,1,2,0,1,33
19.47,2,29,3,0,1,2
15.94,8,27,5,1,0,30
11.06,0,32,2,1,0,9
13.8,11,26,2,0,1,8
15.7,1,15,6,0,0,5
7.33,11,0,6,1,0,34
9.76,5,0,3,0,1,24
15.25,14,23,2,0,1,35
14.02,7,37,4,0,0,21
7.67,4,31,6,0,0,34
15.65,9,0,5,0,0,55
44.8,15,38,3,0,0,25
16.58,6,26,6,0,0,7
10.12,20,22,6,0,0,32
29.69,12,36,6,1,1,11
12.61,20,13,1,0,0,50
22.92,5,27,3,1,0,26
13.29,12,22,2,0,0,49
16.26,14,29,5,0,0,17
12.95,7,11,6,0,0,32
15.54,0,25,2,0,0,37
11.54,4,15,3,0,0,23
23.79,6,39,3,0,0,28
16.13,3,24,6,0,1,24
24.12,4,12,5,1,1,14
26.57,0,23,3,0,0,60
10.25,0,0,6,0,1,35
8.42,9,28,3,0,0,37
17.64,5,18,6,0,0,7
19.38,4,23,3,0,0,55
19.8,11,29,2,1,0,58
47.45,10,22,4,1,1,4
15.07,5,20,6,0,0,47
11.04,3,29,4,0,1,1
12.5,11,43,5,0,0,37
9.83,11,39,6,1,0,53
18.46,4,14,5,1,0,27
22.87,5,29,1,0,0,49
14.07,4,6,6,0,0,60
14.64,12,31,6,0,0,27
13.29,6,20,6,1,0,60
7.72,7,6,3,0,0,57
14.03,6,43,2,1,0,32
14.27,14,35,2,0,1,51
22.65,10,29,6,0,0,30
17.73,1,7,5,0,0,5
36.42,4,17,4,0,1,11
25.41,14,0,2,1,0,7
20.51,10,8,6,0,1,35
17.64,7,16,6,0,0,48
21.55,3,23,5,0,0,30
20.8,6,46,5,0,1,13
16.82,7,41,6,0,1,16
14.25,8,34,3,0,0,21
14.13,11,0,2,1,0,27
10.26,7,31,4,0,0,50
21.32,0,27,4,1,1,24
12.73,18,19,4,0,0,58
8.96,5,21,1,1,0,18
12.35,1,11,1,1,0,22
26.73,8,33,3,0,0,7
14.92,0,41,1,0,1,42
18.6,5,20,3,0,0,54
14.26,7,44,4,1,0,30
21.17,12,20,6,0,1,45
15.09,5,14,4,0,1,46
21.88,15,20,2,0,1,24
20.87,11,42,5,0,0,12
11.31,4,10,2,0,0,10
14.21,5,35,5,0,0,9
12.87,9,33,2,1,1,6
28.11,17,27,1,0,0,26
13.86,0,13,1,0,0,28
15.01,11,18,2,0,0,3
13.79,6,2,3,0,0,21
14.71,8,10,1,1,0,37
13.51,9,15,2,0,0,28
28.66,0,17,2,1,1,52
10.75,2,13,4,0,1,8
18.8,0,5,3,0,1,40
23.24,11,4,6,0,1,39
13.76,14,20,6,0,1,39
26.04,14,12,2,0,0,60
35.96,6,35,1,0,0,56
20.79,13,41,1,0,1,33
21.74,8,16,1,1,0,26
13.83,14,17,5,0,0,34
20.3,5,48,5,1,0,60
13.37,10,21,5,1,0,21
25.16,13,42,3,0,0,9
15.48,6,14,2,0,1,1
26.77,12,0,5,1,1,19
19.42,16,31,1,0,1,38
21.87,18,9,5,0,1,19
29.58,10,37,4,0,0,47
32.28,9,37,4,1,1,38
18.3,14,24,6,0,0,21
20.72,5,32,3,0,1,51
11.79,8,29,1,0,0,10
10.55,12,49,6,0,0,53
14.68,1,19,6,0,0,7
10.57,0,44,1,1,1,43
20.22,16,16,5,0,1,13
27.04,12,10,3,0,1,19
26.92,19,9,3,1,1,2
17.17,0,11,6,0,1,33
8.72,7,27,1,0,0,10
19.23,1,22,5,0,0,22
13.4,13,15,3,0,0,22
13.19,9,13,3,0,0,44
11.02,1,37,4,0,0,32
42.2,6,2,3,1,1,4
20,6,17,4,0,0,47
16.27,4,31,5,1,0,26
23.2,0,5,4,0,1,33
18.33,11,26,6,0,0,10
11.46,6,24,5,0,0,49
7.19,0,26,4,0,0,34
6.34,6,37,3,0,0,53
15.66,10,54,6,0,0,57
25.07,9,20,5,0,0,7
14.01,4,29,4,0,1,8
10.31,9,9,5,0,0,34
10.24,7,23,4,0,1,46
27.1,10,24,5,0,0,48
14.52,8,2,4,1,0,12
12.7,13,23,2,1,0,58
17.64,2,7,3,1,0,56
19.42,10,9,2,0,0,48
14.98,9,42,2,0,0,7
21.8,8,0,5,0,0,7
13.68,10,26,1,0,1,14
11.1,1,5,4,0,1,59
19.19,10,2,2,0,1,6
19.82,8,22,2,0,0,49
24.23,13,33,5,0,0,60
25.59,3,30,1,0,1,51
6.77,4,8,1,0,0,20
31.99,4,19,3,0,0,31
31.54,16,0,4,0,1,51
13.27,6,44,6,0,0,57
13.4,7,0,4,1,0,58
23.05,22,49,1,1,0,30
12.93,0,21,4,0,0,36
10.95,10,0,2,0,0,10
8.65,3,29,2,0,0,20
30.8,6,52,6,0,1,14
18.01,7,12,3,0,0,17
12.43,12,37,1,0,1,42
29.07,16,33,5,0,0,25
20.46,13,35,2,0,1,35
10.15,16,10,4,0,0,54
52.54,13,9,4,0,1,4
20.41,9,33,3,0,0,29
8.47,4,0,1,0,0,17
11.98,2,29,6,0,0,3
27.54,9,29,5,1,0,25
13.58,3,3,1,1,1,35
10.78,2,7,5,0,0,50
11.91,13,21,3,0,1,6
36.06,18,10,4,1,1,33
20.9,0,27,5,1,1,59
19.14,6,33,4,0,1,2
17.58,8,36,3,0,0,7
10.55,7,12,3,1,1,16
16.06,2,16,5,1,0,48
12.2,5,0,1,1,0,54
12.82,13,36,5,1,0,32
6.94,12,0,1,1,0,20
14.41,11,19,4,0,0,54
29.02,7,29,4,1,1,59
12.34,0,7,4,0,1,1
20.05,9,24,4,1,0,49
29.96,13,21,3,0,0,56
18.12,6,18,2,0,0,47
13.17,6,23,5,0,0,29
30.05,2,13,5,0,1,52
16.26,3,17,6,1,0,12
27.74,6,11,4,0,0,5
18.41,8,7,6,1,0,41
12.63,1,32,1,1,1,8
23.13,9,12,3,0,1,2
15.58,1,23,6,1,1,38
20.13,8,14,3,0,1,40
27.96,11,40,2,1,0,15
8.99,1,0,5,0,0,34
10.11,1,23,2,0,0,22
9.36,4,16,1,0,0,21
17.55,8,29,1,1,1,59
19.19,13,17,1,1,0,50
8.55,12,19,5,0,0,3
21.15,14,27,5,1,0,32
26.26,9,12,2,0,0,15
16.73,9,23,1,0,1,24
23.39,12,11,5,0,0,15
11.71,5,25,2,0,0,27
11.97,1,16,6,0,0,29
38.46,22,21,6,0,0,56
12.65,8,16,3,0,0,18
21.04,8,22,2,0,1,4
23.35,7,20,5,0,0,60
18.83,8,12,2,0,0,54
13.22,23,59,6,0,0,34
13.95,17,18,5,1,0,58
19.01,6,23,4,1,1,35
21.41,2,23,2,0,0,48
9.92,6,28,6,1,0,30
9.94,2,58,5,1,1,24
26.56,9,25,4,0,1,52
13.35,8,8,2,0,0,22
27.22,13,4,2,1,0,15
12.7,13,32,5,0,1,24
26.73,5,11,5,0,1,19
13.51,4,46,3,1,1,8
11.46,3,14,3,0,0,41
19.17,0,0,1,0,0,23
16.75,9,40,3,0,1,59
29.7,10,24,5,0,1,51
14.84,2,47,6,0,1,19
29.69,13,20,3,0,1,35
20.78,4,32,5,0,1,33
10.2,2,33,1,0,1,6
22.47,2,28,4,0,1,11
9.08,8,25,2,0,0,10
13.44,8,43,2,0,1,33
19.8,7,18,5,0,0,29
11.88,16,12,4,0,0,34
9.67,3,26,2,1,1,16
28.27,14,20,4,1,0,25
9.92,5,23,4,1,0,34
15.54,8,33,4,1,1,24
15.93,12,20,2,0,0,23
10.12,17,35,2,0,0,41
7.7,3,4,5,1,0,53
13.97,7,28,1,0,0,18
32.15,17,22,6,0,0,9
26.05,14,18,3,1,1,19
8.91,12,0,6,0,1,42
20.4,20,0,3,1,0,27
12.14,5,19,3,1,1,45
11.09,4,39,4,0,1,35
14.46,2,29,3,1,1,39
10.06,8,31,4,1,0,36
19.99,11,12,6,1,0,55
12.34,7,0,6,1,0,44
24.66,9,20,3,0,0,22
28.79,7,36,3,0,1,4
18.23,16,33,1,0,0,56
24.73,13,15,2,1,0,22
18.25,16,43,2,0,1,6
23.08,7,0,5,0,0,23
8.51,8,20,3,0,1,38
16.72,7,0,3,0,0,21
8.2,11,0,6,0,0,10
16.92,6,3,2,0,0,34
14.28,4,46,1,0,0,7
11,3,20,2,0,1,46
15.42,19,13,4,1,1,42
14.25,1,14,6,0,1,51
8.53,10,49,1,1,0,58
21.61,6,24,5,0,0,34
15.04,9,23,4,0,0,60
12.79,5,28,6,0,0,30
15.45,11,54,3,0,1,39
13.25,13,7,3,0,1,38
22.88,7,32,6,0,0,25
16.78,4,24,3,0,0,9
12.62,1,6,2,1,1,19
10.05,7,10,6,0,0,9
13.1,12,16,6,0,1,42
15.45,6,4,4,0,1,2
27.97,13,14,6,0,0,56
12.18,0,30,3,0,1,52
9,2,6,1,0,1,42
14.58,0,26,6,0,0,60
23.32,13,19,3,1,1,11
26.36,7,33,1,1,1,16
10.52,10,23,5,0,0,58
16.3,6,40,3,0,1,2
19.51,8,33,5,0,0,28
39.24,18,1,3,0,0,47
7.06,4,33,3,0,0,54
15.48,21,22,1,0,0,44
29.5,10,18,6,0,0,56
13.48,10,25,3,0,0,27
5.2,10,37,4,0,0,20
23.2,3,21,6,1,1,59
39.04,10,20,3,1,1,19
15.03,0,6,4,0,0,22
37.2,6,15,3,0,0,48
14.89,8,7,6,1,1,59
6.38,0,6,2,0,0,27
35.69,9,0,2,1,0,56
12.65,0,30,5,0,1,51
11.18,15,0,5,0,1,13
31.97,12,31,4,1,1,2
8.78,15,1,2,0,1,16
28.48,9,5,1,0,1,1
16.18,7,0,4,0,0,21
23.58,2,34,2,0,1,51
19.3,4,17,2,0,0,20
15,5,22,4,0,0,30
20.5,6,4,5,0,0,49
14.15,11,33,2,0,1,35
22.75,3,29,2,0,1,24
22.94,6,12,5,0,0,48
10.4,10,31,6,0,0,53
19.09,3,21,4,1,1,33
22.45,11,32,5,0,0,44
16.2,0,19,2,1,0,25
18.82,11,23,3,0,1,38
23.22,18,0,2,0,0,28
9.73,9,17,6,1,0,54
12.58,8,16,3,0,0,50
17.2,2,25,4,1,0,27
13.99,13,11,4,1,0,37
11.94,3,16,2,0,0,32
17.06,12,25,2,1,0,22
15.83,10,3,1,0,1,14
8.51,9,18,4,0,0,10
12.93,4,17,6,0,0,25
10.18,1,7,5,0,0,21
33.44,4,29,6,1,1,33
31.28,12,40,1,0,1,38
23.41,5,35,5,0,1,11
31.53,9,0,5,0,0,56
22.04,1,35,1,0,0,29
36.04,4,19,5,1,0,47
14.92,13,15,3,0,1,1
14.23,3,18,1,1,0,49
14.04,6,15,1,0,0,28
18.18,12,6,4,0,0,15
22.65,5,1,2,0,0,15
14.42,7,21,3,0,0,53
11.14,15,8,5,0,0,53
11.62,13,46,4,0,1,46
10.65,6,11,2,0,0,44
20.45,12,23,5,1,1,16
18.1,16,17,6,0,1,6
21.05,7,31,4,0,1,40
9.92,0,2,6,0,0,3
14.07,7,6,4,1,0,17
8.97,2,21,3,0,0,26
28.71,3,36,2,0,1,4
23.07,4,24,1,1,0,48
12.81,8,42,4,0,0,53
18.32,12,43,4,0,1,46
15.53,19,43,3,0,1,24
12.1,14,14,1,0,0,20
6.32,7,0,3,1,0,54
14.08,9,22,3,0,1,39
19.09,0,37,4,0,1,1
17.6,17,16,3,0,1,42
15.96,18,26,2,0,0,60
21.93,5,4,4,0,1,1
14.78,11,24,4,0,0,41
20.19,9,5,1,1,0,7
19.86,1,46,6,0,0,44
15.21,6,6,3,1,0,15
21.29,1,22,5,1,0,30
20.99,7,0,6,0,1,45
23.64,0,25,1,1,0,15
30.43,14,34,1,1,0,7
32.93,9,36,1,0,0,55
25.98,10,48,2,0,0,22
27.01,3,6,4,0,0,31
27.65,12,23,5,0,1,6
20.04,13,35,3,0,1,35
31.71,4,40,1,0,0,56
25.21,9,53,5,0,1,14
11.07,17,29,1,0,1,35
13.54,12,14,3,1,0,21
15.99,0,0,3,0,0,22
19.73,5,15,2,0,0,3
10.86,6,38,3,1,0,37
12.14,0,33,4,0,1,42
30.69,13,51,5,1,1,59
21.77,18,43,5,0,0,29
15.6,0,0,5,1,1,43
14.39,9,47,3,1,0,15
16.05,15,22,6,0,0,32
32.69,9,0,2,0,0,47
23.82,2,20,4,0,1,11
10.78,6,3,2,0,1,43
23.06,12,10,4,1,0,28
10.2,5,10,4,0,0,58
11.01,1,3,6,1,0,58
23.2,13,6,5,0,0,44
20.94,14,0,2,1,1,24
25.95,10,10,1,0,0,7
17.51,9,2,3,0,1,16
15.35,3,13,4,0,0,3
11.13,5,17,2,1,0,37
26.18,10,13,2,1,0,25
14.45,7,8,5,1,0,18
18.56,5,20,5,1,1,43
16.03,9,23,1,0,0,30
22.53,7,3,3,0,1,39
19.02,18,23,2,1,0,58
17.07,13,11,6,0,0,15
33.21,13,47,1,0,1,59
24.64,3,35,2,1,0,47
24.47,12,41,3,0,0,21
18.87,0,41,5,1,0,25
15.83,5,14,6,1,1,39
9.06,8,13,6,0,0,30
10.84,8,21,5,1,1,16
15.56,8,32,1,0,0,25
22.91,10,2,2,0,1,33
14.71,9,21,4,0,1,16
27.93,5,29,3,0,0,48
16.06,12,15,5,0,1,2
16.35,6,46,1,1,0,60
18.39,0,25,2,0,0,28
24.74,12,43,5,0,0,18
29.31,4,13,1,0,0,15
17,8,3,4,0,0,48
32.15,6,10,1,1,1,4
15.62,11,56,2,0,1,38
18.55,12,31,4,0,1,13
16.83,18,18,1,0,0,32
16.96,8,15,1,0,1,19
23.38,5,38,1,0,0,32
10.94,3,25,1,0,0,3
15.21,0,38,2,0,1,51
13.43,7,43,1,0,0,54
17.76,17,51,2,0,1,51
12.58,4,41,2,1,1,43
22.69,11,50,5,0,1,51
13.05,0,6,3,0,1,42
18.06,11,24,5,0,1,43
20.82,5,3,1,0,1,8
15.73,8,30,5,0,0,55
14.66,11,3,1,0,1,16
19.9,8,33,6,1,0,21
7.46,15,2,5,0,0,32
20.7,18,34,4,1,1,13
21.75,6,10,1,0,0,50
14.7,20,49,6,0,1,35
11.73,9,5,3,0,0,27
23.03,11,25,3,0,0,25
7.83,0,34,6,0,0,34
17.51,9,21,1,0,0,47
21.12,16,23,4,1,0,36
13.55,19,36,5,0,0,58
12.37,14,25,3,0,1,24
19.91,12,5,5,0,0,29
23.14,16,3,6,0,0,32
11.87,8,0,2,0,0,26
17.6,13,40,4,0,0,15
12.56,1,24,5,0,1,39
24.81,19,33,1,0,0,49
28.67,8,22,2,0,0,49
14.91,14,26,3,1,0,27
16.28,7,23,2,0,0,9
12.53,5,23,3,0,0,23
6.25,6,18,2,0,1,42
16.48,12,34,1,1,0,25
14.53,11,33,5,1,0,44
21.02,9,13,5,1,1,6
20.58,11,7,2,1,0,7
12.12,3,15,3,1,0,9
12.32,6,16,3,1,1,46
15.52,13,33,1,0,0,23
10.23,1,0,6,0,1,51
15.68,4,47,5,0,1,46
28.67,10,34,5,0,1,33
8.65,2,32,3,1,0,36
26.98,13,32,6,0,1,51
28.53,10,39,6,0,1,33
13,8,20,5,1,1,35
22.12,3,0,4,0,0,21
11.21,11,36,1,0,1,46
15.61,5,10,6,0,0,54
25.04,12,29,1,0,0,21
15.38,6,26,4,0,0,10
14.04,4,19,2,0,0,10
22.38,16,14,6,1,1,2
9.3,9,0,1,0,0,32
19.11,16,31,6,0,0,28
14.37,7,0,3,0,0,32
30.08,10,15,4,0,1,33
11.58,9,25,5,1,0,34
9.32,12,30,4,0,0,23
9.62,3,21,2,0,0,57
20.23,7,12,3,0,0,56
18.82,15,41,5,0,1,35
11.06,9,17,6,0,0,26
9.34,11,20,6,0,0,57
29.79,13,17,5,1,1,39
17.06,9,40,4,1,1,42
11.63,5,23,2,0,0,54
13.59,17,17,4,0,1,13
12.45,14,38,5,1,1,38
16.77,13,9,6,1,1,35
27.79,12,31,3,0,1,16
10.77,3,8,1,0,1,43
21.31,14,15,2,1,1,35
14.74,11,40,1,0,1,52
10.32,13,0,2,0,0,20
26.3,9,11,1,1,0,54
14.17,15,17,5,0,0,23
22.3,8,14,5,0,0,15
7.63,8,7,5,0,0,44
12.49,7,15,1,0,0,3
12.8,1,16,4,0,1,46
19.4,11,36,5,0,0,9
23.02,11,12,4,0,1,1
25.07,10,35,6,1,0,22
14.44,7,23,2,0,0,26
12.3,10,0,5,1,0,36
21.91,8,18,5,0,1,43
11.23,7,22,3,1,0,58
24.51,15,45,6,0,0,23
31.69,10,23,1,0,1,4
13.78,3,27,3,0,1,13
13.08,13,26,5,0,0,22
14.55,16,40,5,0,0,58
16.08,10,49,4,0,1,19
25.54,13,16,4,1,0,21
