investment,rd_intensity,leverage,interest_rate,sector,firm,year
27,11.8,0.29,4.1,3,4,2015
18,10.8,0.69,6.5,3,4,2016
21,7,0.61,5.6,3,4,2017
10,0,0.07,5.5,3,4,2018
24,6.3,0.11,8,3,4,2019
15,6.8,0.78,7,3,4,2020
7,1,0.5,7.6,3,4,2021
17,0.2,0.14,2.8,3,4,2022
16,9,0.72,7.3,3,4,2023
18,4.7,0.1,3.7,3,4,2024
19,4.5,0.3,2.4,4,5,2000
19,6.4,0.27,7.6,4,5,2001
20,10.1,0.38,5,4,5,2002
22,0,0.54,4,4,5,2003
20,4,0.21,2.2,4,5,2004
30,7.5,0.21,7.9,4,5,2005
24,5.7,0.61,2.1,4,5,2006
18,0,0.11,3.4,4,5,2007
28,10.3,0.12,2.9,4,5,2008
16,3,0.73,4.1,4,5,2009
20,4.4,0.53,3.2,4,5,2010
8,2.1,0.61,5.6,4,5,2011
20,3.8,0.13,6.9,4,5,2012
13,2.5,0.17,3.4,4,5,2013
32,8.1,0.52,4,4,5,2014
31,5.5,0.35,4.1,4,5,2015
23,6.3,0.12,6.5,4,5,2016
45,4.1,0.36,5.6,4,5,2017
17,5,0.35,5.5,4,5,2018
31,3.5,0.31,8,4,5,2019
40,7.5,0.13,7,4,5,2020
10,0,0.79,7.6,4,5,2021
23,6.5,0.67,2.8,4,5,2022
19,1.1,0.78,7.3,4,5,2023
16,6,0.03,3.7,4,5,2024
14,3.4,0.11,2.4,1,6,2000
18,7.7,0.4,7.6,1,6,2001
11,5.9,0.69,5,1,6,2002
26,4.8,0.49,4,1,6,2003
25,5.8,0.69,2.2,1,6,2004
14,6.5,0.47,7.9,1,6,2005
32,5.5,0.04,2.1,1,6,2006
17,5.6,0.63,3.4,1,6,2007
20,5.1,0.51,2.9,1,6,2008
19,6.3,0.41,4.1,1,6,2009
24,8.3,0.25,3.2,1,6,2010
6,0,0.12,5.6,1,6,2011
25,7.2,0.46,6.9,1,6,2012
23,3.6,0.64,3.4,1,6,2013
19,4.8,0.56,4,1,6,2014
20,0,0.04,4.1,1,6,2015
26,6.3,0.15,6.5,1,6,2016
31,7.9,0.27,5.6,1,6,2017
12,7,0.6,5.5,1,6,2018
22,4.8,0.02,8,1,6,2019
24,6.2,0.37,7,1,6,2020
19,7,0.25,7.6,1,6,2021
22,1.6,0.2,2.8,1,6,2022
9,0,0.49,7.3,1,6,2023
21,4.4,0.6,3.7,1,6,2024
14,2.4,0.45,2.4,3,7,2000
11,1.3,0.67,7.6,3,7,2001
13,3.2,0.09,5,3,7,2002
22,0,0.56,4,3,7,2003
23,3.5,0.51,2.2,3,7,2004
14,5.8,0.66,7.9,3,7,2005
30,5.9,0.05,2.1,3,7,2006
17,6.8,0.2,3.4,3,7,2007
17,9.5,0.63,2.9,3,7,2008
19,5.4,0.16,4.1,3,7,2009
31,7.2,0.72,3.2,3,7,2010
11,3.8,0.35,5.6,3,7,2011
37,12.4,0.36,6.9,3,7,2012
20,3,0.56,3.4,3,7,2013
37,5.3,0.49,4,3,7,2014
29,6.4,0.23,4.1,3,7,2015
37,8,0.25,6.5,3,7,2016
36,9.5,0.13,5.6,3,7,2017
24,5.6,0.16,5.5,3,7,2018
17,2.9,0.76,8,3,7,2019
14,0,0.61,7,3,7,2020
14,3,0.34,7.6,3,7,2021
15,1.5,0.2,2.8,3,7,2022
15,8.5,0.69,7.3,3,7,2023
10,5.2,0.59,3.7,3,7,2024
22,7.2,0.6,2.4,3,8,2000
19,4.6,0.78,7.6,3,8,2001
18,5,0.68,5,3,8,2002
34,4.2,0.23,4,3,8,2003
21,6.2,0.66,2.2,3,8,2004
20,11,0.34,7.9,3,8,2005
35,6,0.7,2.1,3,8,2006
24,4.5,0.46,3.4,3,8,2007
34,6.7,0.74,2.9,3,8,2008
23,3.2,0.11,4.1,3,8,2009
36,5.7,0,3.2,3,8,2010
10,6.7,0.74,5.6,3,8,2011
25,5.8,0.28,6.9,3,8,2012
42,11.3,0.21,3.4,3,8,2013
28,4.5,0.44,4,3,8,2014
17,5.7,0.24,4.1,3,8,2015
15,2.5,0.41,6.5,3,8,2016
22,3.3,0.65,5.6,3,8,2017
12,3.2,0.66,5.5,3,8,2018
23,5.6,0.04,8,3,8,2019
14,1.9,0.68,7,3,8,2020
15,6.2,0.23,7.6,3,8,2021
40,9,0.68,2.8,3,8,2022
16,5,0.26,7.3,3,8,2023
14,5.8,0.33,3.7,3,8,2024
29,6.8,0.05,2.4,5,9,2000
21,0,0.26,7.6,5,9,2001
10,2,0.03,5,5,9,2002
33,7.2,0.7,4,5,9,2003
19,5.2,0.79,2.2,5,9,2004
11,7.9,0.77,7.9,5,9,2005
29,1.7,0.41,2.1,5,9,2006
21,4.5,0.44,3.4,5,9,2007
23,5.6,0.68,2.9,5,9,2008
14,3.9,0.05,4.1,5,9,2009
15,4.9,0.77,3.2,5,9,2010
14,10.1,0.58,5.6,5,9,2011
12,2.6,0.19,6.9,5,9,2012
51,12.8,0.11,3.4,5,9,2013
31,5.6,0.72,4,5,9,2014
16,5,0.79,4.1,5,9,2015
32,8.5,0.16,6.5,5,9,2016
25,7,0.02,5.6,5,9,2017
20,4.4,0.75,5.5,5,9,2018
24,6.5,0.57,8,5,9,2019
13,1.5,0.01,7,5,9,2020
10,6.3,0.75,7.6,5,9,2021
37,3.8,0.03,2.8,5,9,2022
25,4.2,0.14,7.3,5,9,2023
10,8.6,0.65,3.7,5,9,2024
15,1.9,0.45,2.4,2,10,2000
18,6.9,0.7,7.6,2,10,2001
31,8.6,0.32,5,2,10,2002
13,4.3,0.75,4,2,10,2003
28,6.6,0.09,2.2,2,10,2004
21,2.5,0.37,7.9,2,10,2005
17,3.2,0.71,2.1,2,10,2006
24,6.4,0.18,3.4,2,10,2007
15,0.6,0.43,2.9,2,10,2008
12,0,0.69,4.1,2,10,2009
18,9.3,0.7,3.2,2,10,2010
8,6.3,0.59,5.6,2,10,2011
17,0.7,0.25,6.9,2,10,2012
17,4.5,0.5,3.4,2,10,2013
23,4.6,0.38,4,2,10,2014
33,6.5,0.69,4.1,2,10,2015
31,2.8,0.46,6.5,2,10,2016
22,4.5,0.25,5.6,2,10,2017
23,0.3,0.31,5.5,2,10,2018
16,2.3,0.2,8,2,10,2019
14,5.9,0.44,7,2,10,2020
13,11.7,0.55,7.6,2,10,2021
45,8.2,0.18,2.8,2,10,2022
19,5.4,0.29,7.3,2,10,2023
14,5.3,0.63,3.7,2,10,2024
18,2,0.25,2.4,1,11,2000
12,4.3,0.5,7.6,1,11,2001
23,8.6,0.09,5,1,11,2002
24,4.6,0.64,4,1,11,2003
22,7.4,0.02,2.2,1,11,2004
9,2.3,0.53,7.9,1,11,2005
27,3.4,0.74,2.1,1,11,2006
14,9.8,0.3,3.4,1,11,2007
13,2.5,0.65,2.9,1,11,2008
13,3.5,0.7,4.1,1,11,2009
20,4.2,0.55,3.2,1,11,2010
11,4.1,0.09,5.6,1,11,2011
30,5.2,0.21,6.9,1,11,2012
22,4.8,0.61,3.4,1,11,2013
19,6.5,0.09,4,1,11,2014
11,0,0.31,4.1,1,11,2015
12,4.4,0.38,6.5,1,11,2016
18,7.2,0.45,5.6,1,11,2017
12,3.2,0.75,5.5,1,11,2018
19,0.8,0.55,8,1,11,2019
20,7.2,0.64,7,1,11,2020
11,5.9,0.09,7.6,1,11,2021
14,3.7,0.54,2.8,1,11,2022
17,3.7,0.03,7.3,1,11,2023
17,3.8,0.79,3.7,1,11,2024
51,3.6,0.62,2.4,4,12,2000
16,5.1,0.68,7.6,4,12,2001
11,4.7,0.58,5,4,12,2002
45,9.2,0.26,4,4,12,2003
15,6,0.31,2.2,4,12,2004
15,6.7,0.63,7.9,4,12,2005
13,0,0.51,2.1,4,12,2006
18,5.7,0.34,3.4,4,12,2007
21,6,0.66,2.9,4,12,2008
17,3.7,0.15,4.1,4,12,2009
16,3.2,0.09,3.2,4,12,2010
9,2.8,0.07,5.6,4,12,2011
20,1.3,0.79,6.9,4,12,2012
22,2.3,0.36,3.4,4,12,2013
21,0,0.29,4,4,12,2014
25,5.2,0.27,4.1,4,12,2015
22,2.2,0.09,6.5,4,12,2016
22,5.2,0.67,5.6,4,12,2017
17,6.3,0.63,5.5,4,12,2018
40,8,0.05,8,4,12,2019
17,0.2,0.57,7,4,12,2020
19,6.3,0.02,7.6,4,12,2021
29,8.5,0.75,2.8,4,12,2022
22,6.1,0.15,7.3,4,12,2023
13,6.9,0.23,3.7,4,12,2024
13,3.5,0.49,2.4,2,13,2000
15,3.9,0.68,7.6,2,13,2001
8,7.1,0.05,5,2,13,2002
19,2.5,0.25,4,2,13,2003
11,3.5,0.6,2.2,2,13,2004
15,4,0.59,7.9,2,13,2005
18,4.1,0.49,2.1,2,13,2006
28,8.3,0.56,3.4,2,13,2007
10,3.7,0.57,2.9,2,13,2008
19,3.6,0.15,4.1,2,13,2009
16,1.3,0.72,3.2,2,13,2010
16,5.5,0.01,5.6,2,13,2011
36,6.6,0.14,6.9,2,13,2012
24,3.9,0.35,3.4,2,13,2013
27,0,0.17,4,2,13,2014
25,10.5,0.11,4.1,2,13,2015
9,5.2,0.49,6.5,2,13,2016
33,8.7,0.27,5.6,2,13,2017
13,6.3,0.36,5.5,2,13,2018
21,4.8,0.71,8,2,13,2019
24,7.2,0.25,7,2,13,2020
12,3.6,0.77,7.6,2,13,2021
26,1.2,0.49,2.8,2,13,2022
17,8.4,0.76,7.3,2,13,2023
16,0,0.28,3.7,2,13,2024
18,8.1,0.77,2.4,1,14,2000
27,4.5,0.08,7.6,1,14,2001
20,2,0.25,5,1,14,2002
40,8.2,0.29,4,1,14,2003
32,5.3,0.67,2.2,1,14,2004
22,4.9,0.75,7.9,1,14,2005
20,7.8,0.44,2.1,1,14,2006
8,2.1,0.48,3.4,1,14,2007
21,3.8,0.74,2.9,1,14,2008
21,7.1,0.25,4.1,1,14,2009
15,3.4,0.03,3.2,1,14,2010
9,7.2,0.29,5.6,1,14,2011
31,4.3,0.37,6.9,1,14,2012
21,5.5,0.73,3.4,1,14,2013
18,0,0.64,4,1,14,2014
19,4.3,0.35,4.1,1,14,2015
19,3.8,0.55,6.5,1,14,2016
29,8.8,0.31,5.6,1,14,2017
16,7.7,0.36,5.5,1,14,2018
32,7.6,0.1,8,1,14,2019
27,4.4,0.39,7,1,14,2020
12,9.2,0.14,7.6,1,14,2021
18,2.7,0.24,2.8,1,14,2022
19,9.2,0.61,7.3,1,14,2023
21,2.1,0.04,3.7,1,14,2024
15,0,0.34,2.4,3,15,2000
30,7.9,0.53,7.6,3,15,2001
12,8,0.73,5,3,15,2002
63,8.8,0.24,4,3,15,2003
29,7.8,0.2,2.2,3,15,2004
18,7.9,0.46,7.9,3,15,2005
44,8.1,0.11,2.1,3,15,2006
31,8.5,0.53,3.4,3,15,2007
24,3.7,0.51,2.9,3,15,2008
25,5.3,0.04,4.1,3,15,2009
16,4.3,0.3,3.2,3,15,2010
14,6.8,0.31,5.6,3,15,2011
32,4.8,0.29,6.9,3,15,2012
27,4.8,0.74,3.4,3,15,2013
46,3.8,0.52,4,3,15,2014
24,3.8,0.37,4.1,3,15,2015
21,7.4,0.79,6.5,3,15,2016
20,7.9,0.42,5.6,3,15,2017
16,6.9,0.65,5.5,3,15,2018
15,8.9,0.69,8,3,15,2019
16,4,0.67,7,3,15,2020
7,0.9,0.65,7.6,3,15,2021
16,4,0.69,2.8,3,15,2022
14,1.2,0.24,7.3,3,15,2023
14,1.8,0.32,3.7,3,15,2024
28,8.3,0.39,2.4,3,16,2000
14,8.6,0.59,7.6,3,16,2001
19,6.9,0.73,5,3,16,2002
16,0.9,0.69,4,3,16,2003
18,5.5,0.41,2.2,3,16,2004
17,3.4,0.21,7.9,3,16,2005
28,3.2,0.52,2.1,3,16,2006
33,7.5,0.04,3.4,3,16,2007
27,4.3,0.48,2.9,3,16,2008
15,3.7,0.4,4.1,3,16,2009
21,4.2,0.6,3.2,3,16,2010
18,5.4,0.63,5.6,3,16,2011
35,8.8,0.03,6.9,3,16,2012
35,4.6,0.07,3.4,3,16,2013
31,7.1,0.15,4,3,16,2014
29,10.4,0.7,4.1,3,16,2015
11,3.3,0.46,6.5,3,16,2016
19,3.8,0.19,5.6,3,16,2017
13,9,0.57,5.5,3,16,2018
58,4.9,0.32,8,3,16,2019
16,3.4,0.67,7,3,16,2020
12,1.6,0.46,7.6,3,16,2021
38,1.1,0.1,2.8,3,16,2022
19,0.4,0.27,7.3,3,16,2023
16,4.8,0.46,3.7,3,16,2024
17,2.7,0.08,2.4,2,17,2000
16,6,0.15,7.6,2,17,2001
7,1.7,0.7,5,2,17,2002
59,8.5,0.03,4,2,17,2003
14,1.3,0.71,2.2,2,17,2004
14,0,0.4,7.9,2,17,2005
16,3.4,0.49,2.1,2,17,2006
32,11.4,0.08,3.4,2,17,2007
16,1.2,0.31,2.9,2,17,2008
16,4.7,0.21,4.1,2,17,2009
15,1.2,0.53,3.2,2,17,2010
9,1.4,0.57,5.6,2,17,2011
20,2.2,0.19,6.9,2,17,2012
14,5.5,0.73,3.4,2,17,2013
29,4,0.64,4,2,17,2014
16,10.8,0.65,4.1,2,17,2015
18,0.5,0.09,6.5,2,17,2016
18,6.1,0.27,5.6,2,17,2017
14,5.7,0.65,5.5,2,17,2018
34,9,0.58,8,2,17,2019
16,3.3,0.5,7,2,17,2020
5,0,0.46,7.6,2,17,2021
31,6.6,0.74,2.8,2,17,2022
21,7,0.66,7.3,2,17,2023
20,2.7,0.17,3.7,2,17,2024
22,10.2,0.7,2.4,4,18,2000
23,5.2,0.6,7.6,4,18,2001
16,1.3,0.42,5,4,18,2002
39,6.7,0.06,4,4,18,2003
29,7,0.04,2.2,4,18,2004
12,2.7,0.77,7.9,4,18,2005
27,2.8,0.02,2.1,4,18,2006
19,6.8,0.74,3.4,4,18,2007
14,5.2,0.43,2.9,4,18,2008
23,9,0.23,4.1,4,18,2009
34,0.2,0.25,3.2,4,18,2010
9,6.5,0.48,5.6,4,18,2011
32,3.3,0.13,6.9,4,18,2012
24,0.5,0.3,3.4,4,18,2013
30,10.6,0.79,4,4,18,2014
18,3.9,0.2,4.1,4,18,2015
9,4.8,0.31,6.5,4,18,2016
24,2.1,0.61,5.6,4,18,2017
11,2.4,0.1,5.5,4,18,2018
28,12.7,0.78,8,4,18,2019
26,4.4,0.16,7,4,18,2020
25,4.6,0.21,7.6,4,18,2021
31,7.4,0.31,2.8,4,18,2022
28,5.2,0.4,7.3,4,18,2023
12,4.6,0.5,3.7,4,18,2024
23,1.3,0.18,2.4,2,19,2000
14,5.8,0.73,7.6,2,19,2001
19,6.9,0.59,5,2,19,2002
26,9.4,0.78,4,2,19,2003
11,0.2,0.68,2.2,2,19,2004
23,2.6,0.23,7.9,2,19,2005
15,4,0.34,2.1,2,19,2006
19,7.3,0.78,3.4,2,19,2007
16,0,0.63,2.9,2,19,2008
21,6.8,0.71,4.1,2,19,2009
22,5.4,0.47,3.2,2,19,2010
19,6.7,0.37,5.6,2,19,2011
16,6.9,0.1,6.9,2,19,2012
32,5,0.48,3.4,2,19,2013
20,2.2,0.09,4,2,19,2014
17,1.2,0.34,4.1,2,19,2015
21,3.7,0.09,6.5,2,19,2016
42,5.6,0.3,5.6,2,19,2017
16,0,0.19,5.5,2,19,2018
19,3.2,0.5,8,2,19,2019
26,10.6,0.52,7,2,19,2020
9,7.7,0.61,7.6,2,19,2021
30,7.7,0.02,2.8,2,19,2022
14,3.8,0.06,7.3,2,19,2023
13,6.6,0.55,3.7,2,19,2024
20,2.7,0.38,2.4,2,20,2000
29,6,0.64,7.6,2,20,2001
36,4,0.03,5,2,20,2002
17,2.1,0.13,4,2,20,2003
22,5.2,0.55,2.2,2,20,2004
25,11.1,0.28,7.9,2,20,2005
18,5.2,0.64,2.1,2,20,2006
21,5.9,0.75,3.4,2,20,2007
25,4.2,0.63,2.9,2,20,2008
9,3.8,0.68,4.1,2,20,2009
12,0.4,0.68,3.2,2,20,2010
7,2.6,0.05,5.6,2,20,2011
15,0.4,0.6,6.9,2,20,2012
20,3.1,0.42,3.4,2,20,2013
19,2,0.52,4,2,20,2014
42,8.6,0.12,4.1,2,20,2015
23,13.3,0.19,6.5,2,20,2016
34,5.6,0.38,5.6,2,20,2017
14,2.5,0.14,5.5,2,20,2018
20,2.2,0.77,8,2,20,2019
16,10,0.44,7,2,20,2020
10,4.5,0.19,7.6,2,20,2021
13,7.2,0.73,2.8,2,20,2022
18,4.7,0.32,7.3,2,20,2023
19,4.8,0.66,3.7,2,20,2024
15,7,0.27,2.4,3,21,2000
27,2.4,0.44,7.6,3,21,2001
13,3.7,0.37,5,3,21,2002
23,4.9,0.79,4,3,21,2003
23,0.7,0,2.2,3,21,2004
12,0.7,0.06,7.9,3,21,2005
18,2.5,0.55,2.1,3,21,2006
20,3.4,0.44,3.4,3,21,2007
13,1.8,0.35,2.9,3,21,2008
15,6.8,0.47,4.1,3,21,2009
25,0.1,0.05,3.2,3,21,2010
8,2.3,0.77,5.6,3,21,2011
20,4.7,0.76,6.9,3,21,2012
31,9.1,0.05,3.4,3,21,2013
40,9.9,0.7,4,3,21,2014
31,9.4,0.24,4.1,3,21,2015
23,4.4,0.11,6.5,3,21,2016
13,0,0.35,5.6,3,21,2017
25,5.1,0.31,5.5,3,21,2018
77,10.4,0.02,8,3,21,2019
31,6.9,0.66,7,3,21,2020
14,4.9,0.04,7.6,3,21,2021
28,2.4,0.26,2.8,3,21,2022
15,0.2,0.04,7.3,3,21,2023
23,7.3,0.27,3.7,3,21,2024
17,4.7,0.09,2.4,4,22,2000
14,5.3,0.39,7.6,4,22,2001
24,3.4,0.15,5,4,22,2002
79,12.1,0.28,4,4,22,2003
20,5.4,0.1,2.2,4,22,2004
19,10.2,0.72,7.9,4,22,2005
19,5.6,0.6,2.1,4,22,2006
24,9.2,0.12,3.4,4,22,2007
51,9.8,0.33,2.9,4,22,2008
26,4.5,0.12,4.1,4,22,2009
18,10.3,0.01,3.2,4,22,2010
20,7.1,0.62,5.6,4,22,2011
35,9.4,0.44,6.9,4,22,2012
24,5.4,0.15,3.4,4,22,2013
33,4.5,0.7,4,4,22,2014
15,2.9,0.48,4.1,4,22,2015
18,6.6,0,6.5,4,22,2016
16,3.3,0.69,5.6,4,22,2017
22,7.1,0.73,5.5,4,22,2018
29,3,0.01,8,4,22,2019
21,10.9,0.26,7,4,22,2020
9,5.3,0.49,7.6,4,22,2021
26,5.3,0.6,2.8,4,22,2022
26,6.7,0.18,7.3,4,22,2023
9,1.8,0.55,3.7,4,22,2024
23,4.1,0.27,2.4,1,23,2000
26,4.2,0.43,7.6,1,23,2001
15,6.7,0.44,5,1,23,2002
19,0.9,0.35,4,1,23,2003
18,0,0.25,2.2,1,23,2004
14,5.6,0.18,7.9,1,23,2005
31,2.3,0.47,2.1,1,23,2006
18,6.9,0.3,3.4,1,23,2007
27,10.6,0.6,2.9,1,23,2008
18,0.7,0.79,4.1,1,23,2009
18,5.3,0.17,3.2,1,23,2010
10,6.1,0.46,5.6,1,23,2011
22,10.2,0.45,6.9,1,23,2012
23,2.1,0.2,3.4,1,23,2013
22,5.4,0.36,4,1,23,2014
34,11.2,0.58,4.1,1,23,2015
25,8.8,0.27,6.5,1,23,2016
22,4.5,0.14,5.6,1,23,2017
10,1.3,0.05,5.5,1,23,2018
45,9.5,0.41,8,1,23,2019
27,3.6,0.68,7,1,23,2020
8,6.1,0.22,7.6,1,23,2021
13,1.6,0.02,2.8,1,23,2022
18,4.4,0.68,7.3,1,23,2023
19,1.9,0.28,3.7,1,23,2024
25,2.8,0.1,2.4,2,24,2000
9,5.1,0.76,7.6,2,24,2001
10,2.4,0.36,5,2,24,2002
21,0,0.53,4,2,24,2003
17,4.7,0.03,2.2,2,24,2004
27,4,0.15,7.9,2,24,2005
30,10.1,0.46,2.1,2,24,2006
21,5.8,0.73,3.4,2,24,2007
20,10.3,0.7,2.9,2,24,2008
13,1.5,0.46,4.1,2,24,2009
16,5.5,0.42,3.2,2,24,2010
24,7,0.03,5.6,2,24,2011
20,0.2,0.22,6.9,2,24,2012
21,4.9,0.69,3.4,2,24,2013
17,2.5,0.4,4,2,24,2014
24,7.6,0.02,4.1,2,24,2015
24,7.7,0.27,6.5,2,24,2016
15,4.5,0.75,5.6,2,24,2017
13,2.2,0.43,5.5,2,24,2018
35,8.2,0.59,8,2,24,2019
32,9.5,0.71,7,2,24,2020
7,4.3,0.22,7.6,2,24,2021
16,2.9,0.39,2.8,2,24,2022
9,2.6,0.41,7.3,2,24,2023
12,5.1,0.61,3.7,2,24,2024
16,1.8,0.21,2.4,5,25,2000
14,1.7,0.4,7.6,5,25,2001
8,0,0.74,5,5,25,2002
31,4.3,0.4,4,5,25,2003
29,7.5,0.33,2.2,5,25,2004
17,10.2,0.35,7.9,5,25,2005
32,5.6,0.61,2.1,5,25,2006
16,3,0.78,3.4,5,25,2007
24,5,0.45,2.9,5,25,2008
28,9.8,0.48,4.1,5,25,2009
10,5.2,0.67,3.2,5,25,2010
13,7.8,0.48,5.6,5,25,2011
16,8.4,0.12,6.9,5,25,2012
38,3.1,0.29,3.4,5,25,2013
14,4.8,0.8,4,5,25,2014
26,1.8,0.41,4.1,5,25,2015
16,5.8,0.61,6.5,5,25,2016
19,1.7,0.75,5.6,5,25,2017
16,5.2,0.37,5.5,5,25,2018
19,1.6,0.31,8,5,25,2019
15,4.5,0.7,7,5,25,2020
13,4.6,0.38,7.6,5,25,2021
29,1.2,0.17,2.8,5,25,2022
14,0,0.47,7.3,5,25,2023
12,1.6,0.76,3.7,5,25,2024
19,5.3,0.49,2.4,4,26,2000
10,1.6,0.52,7.6,4,26,2001
15,7.9,0.53,5,4,26,2002
27,3.9,0.34,4,4,26,2003
22,5.8,0.12,2.2,4,26,2004
24,5.5,0.51,7.9,4,26,2005
22,10.6,0.67,2.1,4,26,2006
18,1.4,0.31,3.4,4,26,2007
20,5.5,0.8,2.9,4,26,2008
16,4.9,0.15,4.1,4,26,2009
11,7,0.59,3.2,4,26,2010
20,7.6,0.12,5.6,4,26,2011
32,8.7,0.29,6.9,4,26,2012
28,5.8,0.13,3.4,4,26,2013
37,7.1,0.01,4,4,26,2014
21,5.9,0.4,4.1,4,26,2015
9,1.9,0.28,6.5,4,26,2016
17,3.6,0.39,5.6,4,26,2017
16,0.2,0.01,5.5,4,26,2018
15,5,0.76,8,4,26,2019
18,6.7,0.47,7,4,26,2020
10,2.9,0.51,7.6,4,26,2021
13,3.7,0.77,2.8,4,26,2022
18,4.8,0.35,7.3,4,26,2023
28,11.9,0.37,3.7,4,26,2024
25,3.8,0.09,2.4,4,27,2000
21,5.1,0.02,7.6,4,27,2001
13,3.3,0.41,5,4,27,2002
35,4.4,0.54,4,4,27,2003
17,2.8,0.17,2.2,4,27,2004
16,10.7,0.45,7.9,4,27,2005
40,1.1,0.31,2.1,4,27,2006
19,5.6,0.01,3.4,4,27,2007
23,7.3,0.2,2.9,4,27,2008
24,3.5,0.07,4.1,4,27,2009
50,10.6,0.22,3.2,4,27,2010
12,5.6,0.7,5.6,4,27,2011
23,5.7,0.76,6.9,4,27,2012
46,8.2,0.22,3.4,4,27,2013
41,3.8,0.3,4,4,27,2014
24,5.2,0.18,4.1,4,27,2015
19,6.8,0.51,6.5,4,27,2016
25,7.1,0.38,5.6,4,27,2017
11,5.6,0.74,5.5,4,27,2018
29,5.9,0.49,8,4,27,2019
25,7.9,0.66,7,4,27,2020
6,3.9,0.56,7.6,4,27,2021
36,3.8,0.08,2.8,4,27,2022
20,7.7,0.66,7.3,4,27,2023
13,0,0.35,3.7,4,27,2024
28,6.9,0.17,2.4,3,28,2000
12,4.5,0.18,7.6,3,28,2001
12,4.9,0.46,5,3,28,2002
54,5.7,0.27,4,3,28,2003
27,7.9,0.2,2.2,3,28,2004
22,8.8,0.15,7.9,3,28,2005
26,6.1,0.43,2.1,3,28,2006
28,3.2,0.27,3.4,3,28,2007
14,5.1,0.36,2.9,3,28,2008
12,0,0.44,4.1,3,28,2009
