earnings,education,experience,female,industry,state_eitc,state
15189,17,31,0,5,23,14
9686,13,33,1,6,23,14
5943,11,27,0,7,15,26
11555,14,26,0,8,8,2
7674,13,32,1,2,2,39
32333,9,25,0,2,7,21
15319,16,13,0,6,10,25
9859,12,30,1,7,23,14
13915,14,15,0,1,2,39
5463,11,23,1,2,7,21
12330,10,12,1,3,15,26
14056,16,23,0,8,10,25
2784,12,6,1,4,28,1
24862,10,33,0,4,26,31
9389,13,12,1,6,3,24
37073,15,38,0,8,27,23
7133,15,7,1,6,7,21
6552,15,6,1,5,12,12
13101,12,25,0,2,9,33
11498,11,33,0,8,16,5
9513,14,9,1,3,17,28
15406,13,24,0,7,8,3
16622,16,3,0,7,24,16
23441,12,28,0,5,26,11
9236,14,21,0,2,9,34
11027,14,18,0,7,9,10
9777,15,21,1,7,4,32
14463,11,10,1,7,27,4
18018,13,13,1,4,28,1
11068,12,36,0,1,2,39
7712,11,32,1,8,9,34
11545,12,0,0,5,20,19
10641,8,3,0,3,9,13
17893,11,33,1,2,23,14
5461,12,22,1,4,23,14
11646,14,0,1,7,3,24
7926,9,0,0,8,8,2
11953,14,27,0,3,28,1
19825,14,31,1,8,27,4
16884,12,21,0,1,7,40
10782,12,13,1,2,27,4
4194,9,22,0,4,26,11
18165,10,33,0,3,23,14
7471,14,6,0,2,25,29
3667,11,20,1,8,7,38
8555,13,15,0,2,23,14
7479,11,17,0,1,8,2
7828,13,17,1,2,1,15
8875,14,4,1,6,17,28
29852,17,22,0,2,8,3
11545,12,21,0,4,14,35
10477,10,11,1,6,27,4
12622,17,9,0,3,9,13
10591,13,22,0,7,7,38
7533,9,28,1,2,26,11
6701,17,5,1,3,25,29
15709,15,23,1,6,7,38
20016,12,16,0,1,25,29
15845,12,25,1,3,8,2
7497,12,19,1,7,23,14
7727,14,0,1,1,26,31
25905,12,40,0,1,14,35
9932,14,10,0,4,9,13
16179,15,7,0,7,8,2
6123,14,9,0,2,7,38
10822,15,13,1,4,8,2
11625,14,27,0,1,20,19
14684,11,20,0,3,9,34
17477,14,16,0,6,27,4
11028,8,14,1,6,3,24
5777,13,23,1,2,23,14
14368,15,25,1,2,26,31
23283,17,6,0,2,27,4
33713,17,19,1,2,12,12
33425,13,32,0,6,4,36
11553,11,29,1,6,1,15
10127,15,8,0,8,6,37
4670,9,11,0,5,9,13
9801,12,25,0,1,20,27
6678,12,4,1,5,17,28
10033,8,31,0,5,9,33
11482,15,19,1,8,20,19
28034,11,32,1,7,8,3
8518,15,6,1,7,9,13
14131,13,31,1,4,7,40
15346,19,20,1,1,29,9
9462,11,12,1,5,24,16
9183,9,31,0,4,9,34
15968,13,27,1,1,19,6
11078,15,0,1,7,16,5
12877,16,11,0,7,20,22
9296,11,20,0,1,26,11
2696,10,4,0,8,19,18
8082,14,14,1,8,15,30
11113,13,21,0,2,9,33
10739,15,6,1,6,7,40
5095,8,19,0,8,9,34
7063,11,6,0,2,12,12
21183,14,46,1,7,23,8
8931,8,8,1,1,19,6
11065,14,27,0,8,14,35
33849,15,29,1,3,19,6
5580,11,7,0,4,9,13
9881,17,31,1,5,20,19
4537,10,3,1,2,4,32
11470,17,14,1,1,15,30
6765,12,14,0,6,6,37
9072,11,32,0,4,10,25
25390,17,26,0,6,9,10
16543,17,29,1,8,25,29
8955,12,0,0,7,24,16
17022,13,24,0,6,19,7
25775,14,22,1,2,15,30
11080,16,12,0,3,15,26
19168,16,28,0,1,9,34
20607,13,41,1,6,15,26
12244,16,21,1,4,16,5
11796,8,14,1,7,6,37
12111,11,22,0,7,17,28
13116,12,10,0,2,25,29
14361,14,14,0,2,24,16
6961,12,35,1,4,25,29
22419,13,36,1,4,17,28
17856,12,29,0,8,28,1
8193,12,21,1,4,20,27
22195,14,10,0,6,27,23
8521,11,27,1,8,24,16
33032,12,29,0,4,5,17
8096,15,13,1,3,20,27
5605,13,2,0,7,19,18
6754,14,0,1,6,15,30
11757,8,26,0,8,26,11
10757,12,13,0,7,27,23
8558,14,27,1,8,26,11
5714,13,8,1,3,20,22
4312,8,9,1,4,2,39
9919,16,16,0,4,4,36
12815,13,22,0,2,23,8
10422,14,20,1,1,26,31
13928,12,20,1,8,7,38
17744,14,18,0,7,9,34
10318,14,10,1,8,15,26
9320,14,23,0,1,4,32
19808,11,23,1,1,28,1
9537,13,23,0,5,28,1
23497,16,27,1,4,9,13
10889,10,28,1,3,19,7
13403,13,28,0,6,28,1
12368,15,10,0,7,2,39
8842,13,15,0,7,26,11
12590,12,20,0,8,10,25
4521,11,23,1,2,1,15
8708,8,27,0,3,9,13
16580,16,23,1,5,16,5
10332,15,16,0,4,7,40
19263,14,40,1,1,26,11
25093,13,39,1,1,26,31
9249,10,13,1,6,7,21
9610,8,25,0,7,5,17
22569,15,37,0,2,9,34
5669,10,12,1,4,7,38
6411,12,12,0,1,25,29
36088,14,33,0,4,5,17
17911,17,27,1,7,5,17
8508,16,31,1,6,20,27
13787,14,0,1,3,15,26
17701,15,15,0,1,10,25
10919,13,23,0,1,4,32
4025,16,3,1,3,4,36
12609,16,21,1,6,8,2
6741,16,20,1,8,9,34
13609,16,0,0,3,12,12
14040,9,25,0,6,27,4
12839,13,21,0,6,15,30
5727,11,16,0,8,7,21
13379,17,34,0,4,23,14
14587,12,25,1,4,13,20
8043,16,17,1,3,7,38
5775,9,20,1,7,12,12
8412,10,31,0,3,9,10
12106,11,15,0,6,17,28
10315,8,9,0,1,4,36
12229,11,23,0,1,26,11
8890,16,10,0,5,2,39
11209,12,17,0,4,9,13
18489,10,23,1,6,4,36
8910,11,21,1,3,13,20
4494,9,21,0,3,19,6
7978,10,25,0,5,1,15
5627,12,26,1,5,9,34
16446,13,24,1,3,15,26
11057,15,29,1,7,20,19
6963,12,8,0,3,10,25
14810,13,41,0,4,20,22
14345,12,25,0,7,14,35
14355,12,10,0,6,16,5
19747,13,19,1,8,13,20
5292,10,31,1,7,9,34
13823,11,17,0,5,19,6
11489,11,27,1,5,15,30
12583,14,12,0,2,28,1
14647,17,27,0,1,4,36
10118,13,26,1,7,23,8
11554,13,19,0,1,15,26
13718,11,21,1,8,5,17
10466,13,24,1,4,27,23
3912,12,21,1,1,9,34
10256,12,23,0,1,27,4
13343,15,13,0,8,9,13
8459,13,9,1,2,9,34
22559,14,8,0,1,16,5
9643,13,27,1,8,16,5
7282,16,13,1,5,26,31
13652,12,36,0,3,16,5
5681,10,35,0,8,4,32
9158,8,30,0,1,20,19
16162,13,28,0,7,2,39
10093,8,12,1,6,26,31
26444,16,20,0,8,13,20
8075,14,21,0,6,24,16
12640,10,26,1,3,29,9
5753,12,14,0,1,25,29
8084,14,37,0,4,20,22
17074,12,26,1,6,23,8
8515,12,26,1,7,15,26
13085,11,33,1,6,19,6
12550,16,22,1,7,12,12
9434,12,24,0,2,13,20
27228,13,21,1,1,10,25
5917,17,9,0,4,9,34
10614,13,33,1,1,24,16
45408,19,27,0,1,28,1
9306,9,23,0,2,13,20
25680,10,23,0,4,3,24
4961,10,12,0,3,20,19
7633,9,7,0,2,15,26
13918,15,22,0,4,3,24
4681,12,24,1,4,9,34
5312,14,16,0,5,7,38
14733,13,12,1,6,8,2
12843,12,16,1,2,8,3
18759,10,28,0,3,14,35
9868,9,22,0,6,9,33
5945,10,15,0,4,19,6
12406,14,37,1,2,20,19
14662,13,24,1,7,25,29
12277,12,13,0,4,17,28
8447,13,19,0,8,7,21
4314,9,17,0,5,8,2
12301,13,17,0,5,27,4
10180,15,14,0,2,19,18
7355,11,20,1,4,16,5
5720,12,14,1,8,6,37
14737,15,14,1,1,4,36
9092,11,36,1,4,7,40
17251,18,36,0,2,15,30
19607,9,31,1,6,19,6
22608,14,29,0,6,5,17
13784,12,23,1,8,8,3
18137,11,34,0,3,2,39
30420,16,29,0,7,8,3
7696,10,29,1,7,27,4
8780,15,21,0,4,20,27
13241,13,28,1,5,16,5
13796,13,14,0,8,28,1
15517,14,14,1,3,25,29
16090,15,30,0,1,28,1
14498,12,30,0,8,7,38
13378,14,22,1,7,23,14
30181,14,27,1,1,9,33
18830,13,19,0,3,12,12
8267,12,12,1,5,7,40
16506,11,9,1,7,19,7
13974,14,31,0,5,9,34
10012,16,21,1,8,2,39
7327,13,14,1,5,29,9
12854,17,27,1,7,27,4
11400,14,17,1,6,20,19
8013,15,11,1,6,9,34
14054,8,20,0,2,26,11
17036,14,23,1,5,27,4
4803,11,21,1,4,27,23
7198,10,24,0,2,9,34
21774,16,28,1,7,15,30
5455,10,23,1,2,25,29
7322,14,17,0,4,7,40
12641,15,19,0,5,8,2
24428,11,24,0,8,19,7
13925,10,28,1,1,4,32
10560,14,17,1,3,1,15
6030,11,17,1,7,4,36
16384,12,34,1,2,20,19
14324,13,13,0,1,12,12
23443,18,0,0,8,7,21
18310,11,33,0,8,9,10
21551,17,38,0,8,23,8
24790,16,11,1,8,7,21
11707,15,12,0,7,7,21
11516,11,19,1,1,3,24
21222,13,22,0,6,15,30
20443,15,15,1,5,27,23
14005,14,33,0,4,19,18
16906,9,10,0,3,15,30
16914,9,22,1,3,9,34
7112,12,25,0,6,9,13
17324,12,23,1,2,5,17
5982,9,15,0,1,19,18
5259,15,13,0,1,23,14
18309,12,5,1,2,3,24
10476,11,15,0,6,19,6
17248,14,22,1,3,4,32
10872,14,27,0,1,10,25
14662,17,22,0,2,2,39
5472,12,3,0,2,9,34
13061,13,19,0,5,19,18
17343,15,12,1,3,15,30
19048,15,29,0,7,25,29
12575,14,19,0,5,28,1
16166,15,21,0,4,23,14
24026,13,18,1,1,9,33
7118,11,22,1,2,2,39
21266,14,40,1,8,7,40
28884,17,24,0,8,7,40
4615,12,16,0,4,20,19
12464,15,10,1,5,28,1
6935,15,12,1,2,8,2
9274,12,2,0,1,10,25
4351,10,10,0,1,20,19
6153,15,17,0,4,9,34
4285,13,17,1,2,9,13
7111,10,22,0,2,6,37
9403,14,13,1,4,24,16
5493,16,26,1,4,15,26
9701,17,20,0,7,20,19
11392,14,6,1,4,16,5
6179,15,23,0,8,9,13
9017,13,33,1,7,9,10
18920,17,28,1,3,23,14
9404,17,21,0,2,13,20
15572,13,19,1,3,14,35
22461,14,23,1,4,15,30
17177,14,11,0,2,6,37
13275,12,24,1,5,15,30
17948,17,8,0,5,7,21
2141,8,17,1,5,9,13
20619,13,19,0,6,29,9
9353,13,13,0,5,20,22
8846,12,11,1,5,26,31
4837,14,16,0,6,26,11
11512,14,3,0,8,7,38
27335,12,13,0,3,19,6
16796,16,27,1,6,16,5
8930,13,18,1,6,6,37
19533,13,34,0,7,5,17
17973,12,22,0,8,3,24
10772,10,26,1,4,20,27
16913,11,31,1,6,12,12
25283,11,29,0,1,17,28
14806,17,17,1,1,8,2
12430,14,12,1,5,12,12
12201,12,21,1,1,1,15
21027,16,24,0,2,23,14
10601,12,20,0,5,10,25
8018,14,9,1,8,7,21
29889,10,18,1,3,7,38
12069,13,14,0,4,28,1
27471,15,25,0,6,4,36
27897,12,27,0,7,24,16
4472,13,19,0,7,2,39
20163,15,20,0,1,10,25
7487,13,7,0,1,16,5
12253,16,25,1,8,23,14
6618,8,6,0,8,7,38
8241,14,22,0,7,9,34
8442,12,24,1,8,20,27
5158,14,13,0,6,9,34
7740,12,17,1,4,8,2
31870,14,27,0,7,19,6
33460,16,22,1,7,28,1
7688,11,26,1,2,16,5
4592,14,5,1,4,23,8
12933,18,27,1,6,20,19
7623,13,22,0,4,23,8
8195,13,10,0,3,7,21
13131,12,17,1,7,26,31
6377,11,6,1,2,12,12
23121,10,33,0,3,3,24
47237,15,28,0,8,26,31
13885,12,19,1,4,14,35
12360,12,24,1,1,23,14
8710,11,17,1,4,8,3
5827,14,18,0,8,9,34
8144,12,20,0,5,8,3
13463,11,14,0,7,19,6
10369,11,26,1,3,17,28
18692,12,23,1,5,3,24
15520,12,11,0,5,5,17
9300,17,26,0,2,4,32
18666,16,3,1,1,3,24
6558,12,23,0,5,26,11
5783,12,20,1,2,26,11
19019,14,16,1,6,8,2
6087,11,6,1,2,26,31
6284,13,21,0,2,2,39
11335,10,29,1,7,15,30
8323,13,35,1,7,15,30
12480,12,24,0,6,1,15
6558,10,5,1,3,27,23
10223,10,19,1,4,9,13
7636,12,22,1,5,20,19
9567,15,26,1,1,19,18
8127,11,9,1,3,25,29
9095,10,30,1,3,17,28
11858,14,12,0,1,15,30
6023,9,20,1,8,19,6
21178,14,25,0,2,7,21
12988,12,15,0,6,16,5
4546,13,13,0,1,29,9
8959,12,22,0,8,20,27
11252,14,6,0,2,20,27
11694,15,7,0,1,7,21
9331,11,2,0,2,12,12
9508,15,13,1,2,14,35
8712,8,28,0,8,29,9
8999,12,25,0,6,10,25
23155,16,13,0,2,23,8
14015,15,24,1,6,29,9
27411,12,16,0,3,28,1
13300,13,17,1,1,15,30
14956,15,26,1,6,9,34
14347,18,21,1,2,13,20
12360,14,18,1,4,15,26
9943,11,10,0,5,8,2
26359,16,30,1,1,4,36
31358,13,25,0,6,28,1
16212,15,7,1,5,27,4
7606,10,23,0,3,20,27
7486,9,19,0,8,5,17
15911,12,5,1,3,17,28
8253,14,18,1,2,24,16
13077,12,10,0,1,9,33
7439,13,5,1,2,23,8
16447,13,19,1,7,5,17
9521,12,30,1,2,15,26
14855,12,8,0,5,25,29
16076,16,7,0,4,8,3
8437,15,19,1,1,6,37
15150,16,33,1,1,16,5
35726,20,34,0,3,4,32
11911,13,4,0,6,7,38
13214,16,12,0,8,8,2
6254,12,3,0,8,7,21
6111,8,10,0,8,4,36
8069,10,30,1,3,1,15
13850,16,17,0,5,7,21
12523,10,1,0,6,25,29
11058,12,22,0,4,1,15
16293,12,24,0,5,19,7
15012,13,22,1,6,7,21
14411,11,25,0,3,25,29
31538,11,23,0,6,17,28
8524,14,23,1,8,27,4
9735,12,14,0,3,28,1
25462,15,21,0,6,9,10
10262,12,13,1,6,19,18
10974,15,42,0,1,26,11
11382,15,16,1,6,6,37
12802,11,21,1,6,7,40
15944,10,21,0,1,23,14
16986,15,20,0,6,7,38
8513,11,21,1,1,5,17
6806,8,11,1,5,8,3
6860,16,14,0,3,23,14
10049,11,22,1,2,26,11
12648,11,1,1,5,7,38
4066,9,15,1,2,20,19
4303,9,11,1,6,27,23
14635,11,25,0,3,25,29
30114,12,35,0,3,27,4
30556,14,44,0,8,26,31
5329,9,4,0,2,7,38
15479,14,20,0,3,19,18
14299,15,3,0,3,16,5
2354,8,8,1,1,20,19
7241,12,14,0,3,27,23
17198,15,37,0,2,29,9
19463,12,37,1,6,5,17
10472,18,13,0,5,20,19
9107,13,30,1,8,27,4
18659,11,24,1,4,26,31
14280,12,18,0,6,27,4
13330,12,31,0,6,27,4
3961,13,5,1,5,24,16
12189,12,31,0,6,27,23
3943,14,20,1,5,8,3
21038,17,36,1,3,10,25
36955,17,28,0,6,10,25
21605,16,10,1,8,9,33
6856,16,30,1,3,20,27
5229,8,30,1,6,20,22
4325,12,14,1,5,4,32
9519,11,25,1,1,23,8
3669,9,1,1,8,7,38
9348,9,45,0,2,27,23
11140,11,39,0,5,4,36
16468,13,20,0,7,16,5
10958,9,28,1,7,5,17
14335,13,28,1,8,4,36
20202,17,22,0,7,27,23
16443,12,17,0,3,12,12
10826,18,19,0,8,28,1
7048,12,12,0,4,10,25
10902,13,15,1,8,6,37
10270,12,0,0,8,14,35
31002,14,5,0,4,10,25
46717,15,32,0,7,7,40
8110,19,9,1,5,26,11
23298,9,34,1,4,3,24
16424,13,22,1,2,8,2
8356,14,10,1,6,15,26
18543,14,22,1,2,25,29
8573,14,25,1,6,5,17
15447,10,25,0,5,19,6
16382,17,18,1,4,13,20
11202,13,1,0,3,27,23
9800,11,23,1,3,15,30
18517,15,19,1,4,28,1
15013,16,27,0,4,7,38
7035,12,19,1,8,4,32
17596,11,36,0,8,20,22
6522,17,3,0,7,9,34
13968,14,13,1,2,28,1
14708,15,15,1,5,7,40
15711,11,26,1,1,7,38
19567,15,20,1,6,14,35
26869,16,30,0,3,25,29
16095,13,41,1,4,26,11
10274,15,3,0,6,7,40
7430,15,7,0,5,27,4
38366,16,41,0,5,19,6
10462,15,21,1,7,25,29
8851,15,24,1,4,9,13
8528,10,29,1,8,14,35
7639,11,16,1,1,20,22
8315,11,27,0,5,7,38
10004,16,9,1,6,15,30
35642,13,28,0,7,26,31
6504,12,24,1,8,6,37
5160,11,16,0,8,19,18
18636,15,19,0,2,7,21
4925,9,13,0,8,29,9
5142,10,13,1,5,14,35
14188,13,11,1,8,9,10
8797,13,29,1,8,19,18
12796,11,35,1,4,14,35
34224,16,25,1,3,17,28
3751,14,5,1,7,27,23
14524,15,39,0,4,6,37
9392,10,7,0,6,19,18
17832,10,23,0,1,3,24
4629,10,15,1,5,15,30
3113,9,13,0,6,9,13
9218,14,10,1,2,15,26
13135,15,11,1,5,24,16
14439,12,14,0,6,19,6
7784,10,10,1,7,20,27
10418,10,14,1,6,26,31
9011,16,24,1,4,14,35
8676,14,13,0,7,7,38
8144,13,34,1,3,27,23
10147,11,26,0,6,1,15
9307,12,18,1,3,20,22
17225,15,28,1,6,2,39
6436,8,32,0,3,9,34
10058,11,10,1,7,9,10
5340,12,4,1,6,29,9
38432,15,17,1,1,24,16
14905,12,28,0,2,23,8
15716,14,16,0,7,1,15
18261,14,29,0,6,7,38
6005,12,19,1,6,20,27
8452,14,16,1,5,23,8
6215,12,25,0,2,20,27
10690,16,22,0,8,23,14
9351,8,0,0,1,13,20
11686,15,4,0,1,6,37
14530,11,16,1,6,9,33
7822,10,23,0,8,23,14
9993,8,34,0,6,8,2
16060,13,36,1,8,26,31
9239,10,14,0,4,27,23
8298,12,18,1,3,25,29
21047,12,20,1,4,28,1
35089,13,23,1,6,15,30
10608,11,6,1,4,23,8
10453,12,17,1,5,19,6
16811,12,34,0,5,2,39
11596,10,22,1,3,26,31
20235,18,14,1,7,17,28
7822,13,8,0,3,23,8
17679,15,19,1,1,26,31
33083,15,27,0,7,19,18
16943,14,24,0,1,19,7
15628,10,23,0,2,2,39
9770,10,40,1,4,28,1
17346,14,17,0,2,8,3
8269,13,14,1,4,16,5
8862,10,15,0,8,20,19
12483,13,17,0,2,20,19
20386,10,21,0,3,12,12
4851,11,2,0,8,5,17
8215,11,18,1,4,20,19
14069,13,37,0,2,20,19
