score,prior_score,female,region,small_class,classroom
59,50,0,2,1,50
53,47,1,1,1,15
62,39,1,3,1,28
53,42,0,4,0,26
54,32,1,3,0,45
49,40,1,1,1,3
59,48,1,3,1,22
62,47,1,1,0,39
74,58,0,2,0,74
61,41,1,1,1,2
50,41,1,3,1,22
68,56,1,2,1,20
65,72,1,2,1,62
70,29,1,1,1,10
82,72,0,1,1,68
77,66,0,2,1,50
56,39,0,2,0,11
77,67,1,3,1,73
46,37,1,1,1,75
84,64,1,1,1,37
71,61,1,2,1,61
59,50,0,4,1,33
65,34,1,3,1,48
61,57,0,2,1,18
60,43,1,3,0,11
56,65,0,1,0,46
64,61,1,2,0,36
69,55,1,2,0,12
47,49,0,4,0,6
70,81,0,1,0,1
31,28,1,2,0,54
43,28,1,2,0,80
66,49,0,2,1,25
48,63,0,4,0,35
48,47,1,2,1,47
82,65,0,3,1,37
51,39,0,3,0,7
60,48,0,1,1,33
46,48,0,1,0,23
61,70,0,3,1,69
48,46,1,2,0,4
50,50,1,1,1,9
72,51,1,3,1,50
31,47,1,2,0,1
60,59,0,2,0,49
43,35,0,1,0,1
51,62,0,3,0,72
77,62,0,1,1,10
57,38,0,2,1,68
71,51,1,4,0,65
35,25,0,2,1,27
54,35,1,1,0,26
75,52,1,2,0,13
64,58,1,3,0,31
46,29,0,2,1,50
62,53,0,2,1,9
35,31,0,3,0,35
52,54,0,4,0,58
65,44,0,1,1,47
72,57,1,4,1,2
26,23,1,4,0,19
48,54,0,4,0,35
45,67,1,2,0,14
75,46,1,1,1,70
68,50,1,2,1,25
55,48,1,4,1,20
47,45,1,4,0,19
50,62,0,3,1,22
55,27,1,1,0,76
56,44,0,2,1,22
49,46,1,3,0,31
63,44,1,2,0,78
53,52,1,1,0,14
53,45,1,1,1,21
67,50,1,4,0,72
62,60,1,2,1,55
65,64,0,4,1,3
75,55,1,3,0,16
47,22,1,4,1,73
50,50,1,4,1,32
48,40,1,1,0,78
64,30,1,3,1,47
73,65,0,2,1,51
81,55,1,1,0,76
54,54,0,1,1,20
63,62,0,4,0,13
50,49,0,4,1,9
53,51,0,2,1,33
64,47,0,3,0,4
85,54,1,3,0,16
66,37,1,1,1,77
59,46,1,1,1,15
50,64,0,1,1,30
65,64,0,4,1,71
58,51,0,2,0,76
39,37,0,3,0,66
52,52,1,1,1,44
52,54,0,1,0,12
46,30,1,3,0,26
66,42,0,4,1,18
60,68,1,3,0,66
51,39,1,3,1,55
71,59,0,1,1,67
36,35,1,2,1,34
28,50,0,4,0,35
46,57,1,4,0,14
56,52,1,3,1,33
56,54,1,2,0,23
62,49,1,3,1,30
52,49,1,4,0,8
41,47,1,1,0,1
44,38,0,4,1,75
56,57,0,3,0,76
58,51,0,2,1,27
53,43,0,1,1,77
50,41,0,4,0,1
25,26,0,2,0,23
72,67,0,1,1,77
72,47,1,4,0,38
62,69,1,1,1,3
60,65,0,2,1,29
57,56,0,1,1,27
52,51,1,3,1,33
65,60,1,4,1,44
57,45,0,1,1,34
66,50,0,3,0,41
68,51,0,2,1,53
58,58,0,3,1,67
41,43,0,3,0,35
48,51,1,3,0,78
65,57,0,3,0,74
68,43,0,4,1,24
69,47,0,2,1,48
68,43,1,3,1,40
66,46,1,3,0,36
47,34,1,2,1,5
50,42,0,1,1,40
57,56,0,4,1,20
56,46,1,2,0,12
71,58,1,3,0,42
65,54,1,1,1,69
49,50,1,2,0,65
60,41,1,3,0,6
54,51,0,4,1,22
56,54,0,3,1,27
50,47,1,4,0,74
59,46,1,2,0,72
71,62,1,2,1,17
29,37,1,4,0,49
72,59,1,4,1,53
55,36,0,4,0,13
44,36,1,2,0,56
70,52,0,4,0,76
42,30,0,1,0,52
71,60,0,2,1,40
63,49,1,4,1,34
63,61,1,2,0,57
38,26,0,2,0,4
47,54,1,1,0,19
71,51,1,4,1,24
65,54,1,1,1,25
59,43,1,2,0,72
61,58,0,1,1,25
64,42,1,2,1,24
71,53,1,3,0,60
57,64,0,1,0,64
43,40,1,1,1,25
51,36,0,3,0,57
43,40,0,1,1,25
50,39,0,2,1,59
56,64,0,2,1,63
59,50,1,3,1,53
59,30,0,2,0,65
59,60,1,1,0,57
34,56,0,4,1,79
72,80,0,4,1,73
58,46,1,2,0,43
55,44,1,3,0,38
79,80,0,1,0,26
50,42,1,4,1,59
69,71,1,1,0,72
70,54,1,4,0,39
77,77,0,3,0,16
70,58,1,2,0,42
71,42,1,1,1,5
42,47,0,2,1,79
70,57,0,1,1,67
52,33,0,1,1,5
48,26,1,3,0,78
41,50,1,1,0,26
64,57,1,3,1,33
59,36,0,2,1,48
46,41,0,3,0,31
64,44,1,1,1,33
60,54,0,3,1,24
70,64,1,2,1,37
59,37,1,2,1,20
59,63,1,1,0,54
53,27,0,1,0,54
56,45,0,4,0,39
60,59,0,1,0,8
33,39,0,3,0,76
63,46,1,4,1,70
51,55,0,1,0,6
54,41,1,2,0,8
73,78,0,2,1,25
44,37,0,4,1,30
69,43,1,3,1,68
57,32,1,2,1,73
61,48,0,1,0,6
62,43,1,1,1,28
65,59,1,4,0,31
66,55,1,3,1,5
61,58,1,2,1,25
32,43,0,2,1,63
76,84,0,4,0,7
50,37,0,3,1,24
59,61,1,1,0,38
64,58,0,2,1,24
53,44,0,4,0,56
79,67,0,3,1,2
49,45,1,3,0,1
59,52,0,2,0,41
67,65,0,4,1,68
37,44,0,2,0,38
35,43,1,2,0,14
70,42,1,4,0,43
59,54,1,3,1,50
63,53,0,2,1,51
68,63,1,2,0,58
22,51,0,2,0,54
56,59,0,1,0,41
42,34,1,2,0,54
76,56,0,2,1,2
45,56,0,4,0,74
51,51,0,2,0,7
72,64,1,2,1,44
65,72,0,4,1,24
58,53,1,3,0,23
53,48,1,4,0,54
45,55,1,2,1,20
40,34,1,4,0,31
64,40,0,1,1,20
57,45,1,4,0,65
81,71,1,3,1,77
50,62,0,4,1,75
44,49,1,4,0,35
46,21,0,2,1,17
55,57,1,1,1,17
57,68,0,1,1,20
52,54,1,3,0,23
50,34,0,1,1,34
57,50,1,3,1,59
59,61,1,4,1,69
44,43,1,4,1,29
55,43,0,3,0,78
57,41,0,1,1,15
65,33,1,2,1,55
35,47,0,2,1,79
45,50,1,1,1,34
41,40,0,1,0,41
43,58,1,1,0,23
80,66,0,3,1,2
52,65,1,3,0,35
54,41,1,1,1,33
43,57,1,1,1,3
74,69,0,3,1,44
70,52,1,2,0,57
42,48,0,2,1,3
51,54,1,1,1,32
56,43,1,4,1,50
50,44,0,4,1,47
56,34,1,4,1,3
56,66,0,2,0,4
65,55,0,3,1,50
54,67,1,4,0,35
63,46,1,3,1,30
66,55,0,4,0,66
47,58,1,4,0,57
73,53,0,4,1,40
59,53,0,4,1,33
63,67,1,2,1,30
75,72,0,3,0,76
52,40,0,2,0,56
49,50,0,1,0,31
42,28,1,2,1,33
68,50,1,3,1,15
69,66,0,1,1,48
48,36,1,3,1,70
56,52,0,2,0,74
40,57,1,2,1,3
76,64,0,2,0,7
47,41,0,4,0,66
64,54,1,1,0,45
50,66,1,2,1,79
69,47,0,1,1,61
57,50,0,2,1,9
55,65,0,3,0,49
60,54,1,1,0,23
30,31,0,1,1,27
72,53,0,4,0,7
71,36,0,3,1,5
72,67,1,3,1,70
62,49,0,3,0,72
56,64,1,2,0,26
57,49,0,1,0,58
46,30,1,3,1,61
61,59,0,4,1,50
57,50,0,3,1,50
40,34,0,2,1,62
78,63,1,4,1,68
60,50,0,2,0,76
54,50,1,3,1,63
62,65,1,3,0,11
80,61,0,4,1,44
46,47,0,4,0,14
47,57,0,4,0,54
65,40,1,1,1,5
35,54,1,2,1,79
39,21,0,3,0,38
70,43,1,2,1,18
61,57,0,4,0,66
51,58,1,3,1,3
62,47,0,4,1,70
78,53,0,3,1,28
96,78,1,4,1,61
56,57,0,4,0,36
53,44,0,3,1,70
64,33,1,3,0,23
49,51,0,3,0,42
37,39,1,3,0,56
60,56,1,2,0,42
76,79,0,4,1,77
42,40,0,1,0,46
75,53,1,1,1,2
69,46,1,1,1,48
56,51,1,2,0,65
60,49,0,2,1,73
57,54,1,2,1,75
48,40,1,1,0,39
68,67,1,2,0,6
67,49,1,1,1,24
56,40,0,1,1,55
33,60,0,3,1,29
62,46,0,1,1,20
55,46,1,4,1,62
48,58,1,4,0,72
63,31,0,4,1,18
26,26,0,2,0,19
53,43,0,2,1,24
51,43,0,4,0,12
41,51,0,1,1,75
59,44,0,2,1,24
55,35,1,3,1,24
57,50,1,2,0,31
57,44,0,2,1,59
61,68,1,4,0,78
49,41,1,1,0,52
56,56,1,4,1,37
69,60,0,2,0,41
60,41,1,4,0,39
57,47,1,3,1,21
62,56,0,1,1,17
53,52,0,3,1,3
65,66,1,4,0,45
62,72,0,3,1,48
82,62,0,3,1,55
42,40,1,2,0,76
37,30,0,3,0,4
78,53,0,3,1,67
63,61,1,4,0,23
71,63,1,3,1,51
34,32,0,4,0,49
42,35,0,4,0,23
53,43,1,3,0,13
57,49,1,4,1,77
51,34,1,2,1,30
52,57,0,2,0,12
30,43,1,4,0,64
51,26,0,2,1,15
66,28,1,2,1,28
50,40,1,3,0,8
42,39,1,4,0,4
62,63,0,2,0,36
47,33,1,2,0,38
52,81,1,3,1,79
56,53,1,4,1,62
67,75,1,4,0,58
48,63,0,4,0,52
58,68,0,3,1,69
63,53,0,2,1,61
52,54,1,3,0,11
59,39,1,4,0,12
66,70,1,3,0,8
60,50,0,4,1,61
69,58,0,2,1,61
79,72,1,4,1,61
42,55,0,1,0,46
50,52,0,3,0,8
53,54,0,2,1,32
62,55,0,1,1,25
63,54,0,1,0,19
56,52,0,3,0,13
60,41,0,3,1,67
74,46,0,3,1,67
58,58,0,1,0,41
61,37,1,4,1,50
85,62,0,4,1,67
93,68,1,2,1,70
67,49,1,4,1,67
69,42,1,2,1,27
58,53,0,1,1,9
46,19,1,1,0,76
71,62,1,1,0,80
57,31,1,4,1,2
61,50,1,2,1,55
49,43,0,1,0,36
55,57,0,2,1,77
63,46,1,2,1,50
61,52,0,2,0,65
92,82,1,4,0,58
73,69,1,2,1,15
39,61,0,3,0,74
64,46,1,4,1,73
77,49,0,2,1,68
75,93,0,4,1,37
39,57,0,2,0,19
61,48,0,3,0,39
80,68,1,4,1,50
53,43,0,1,1,20
52,46,0,1,1,71
57,66,1,1,0,35
66,53,1,3,0,11
29,31,0,1,0,46
62,46,1,1,1,37
49,47,0,3,1,69
67,48,1,4,1,15
57,34,0,3,0,78
76,56,1,3,1,33
52,52,0,3,1,5
38,42,1,2,0,31
70,53,0,1,1,73
63,56,1,4,1,17
60,59,1,4,0,35
59,59,1,1,0,8
34,29,0,3,1,71
68,63,0,4,1,69
78,58,1,1,1,55
36,55,0,3,1,17
54,62,1,1,0,13
70,34,1,3,1,2
66,89,0,2,1,79
33,51,0,1,0,14
72,60,0,2,1,50
77,57,0,4,1,69
67,70,1,4,0,7
58,61,0,4,0,72
68,60,1,1,0,13
50,32,1,1,1,77
67,52,0,3,1,70
33,59,0,1,1,75
84,78,1,4,1,28
54,51,0,4,1,71
53,42,1,2,1,25
66,43,1,3,1,50
55,44,0,4,0,39
51,44,1,3,0,45
69,45,1,3,1,70
41,43,0,2,0,54
70,41,0,1,1,2
37,44,0,4,0,19
59,66,1,2,1,20
55,39,1,4,0,66
59,38,1,2,0,58
68,58,0,1,1,70
72,58,1,2,0,78
67,62,0,3,0,13
69,47,0,3,1,70
57,47,1,4,0,64
73,50,1,4,1,44
56,45,1,3,0,19
43,57,0,4,0,74
71,52,1,3,1,71
54,54,0,4,1,24
71,60,1,4,1,20
54,38,1,2,0,49
60,76,1,1,1,73
78,65,0,3,1,70
53,64,0,3,0,6
70,54,1,2,0,31
67,68,1,1,1,28
71,49,1,4,1,28
35,25,0,2,0,52
65,40,1,1,1,55
65,51,1,1,0,49
62,55,0,4,1,67
41,27,1,1,0,76
41,20,1,2,1,34
76,53,0,2,1,70
52,73,0,2,1,22
68,43,1,3,1,77
55,47,1,1,1,25
57,49,1,2,1,33
69,46,1,1,1,61
49,49,1,4,0,11
59,48,0,2,1,18
68,75,1,2,0,7
72,51,0,2,1,59
63,62,0,1,1,73
48,62,0,3,0,74
61,59,0,4,1,5
57,61,0,3,1,22
70,49,1,3,0,13
70,33,0,4,1,67
66,47,0,4,1,37
37,45,0,3,0,23
60,41,0,2,0,56
68,55,0,1,0,65
49,57,0,3,1,79
59,62,1,1,0,19
57,55,0,3,0,54
48,37,0,3,1,75
58,76,0,2,1,22
49,37,1,4,1,62
55,37,0,3,1,50
61,57,0,2,0,38
56,31,0,3,1,15
55,49,0,1,1,9
56,49,0,2,0,1
64,55,1,3,1,37
59,64,0,4,0,14
73,69,0,2,0,42
68,61,0,1,1,30
59,46,1,1,0,7
46,36,1,3,0,12
57,42,1,1,1,44
53,24,0,3,1,70
44,41,1,1,1,20
54,38,1,2,1,59
52,63,1,3,1,34
56,51,1,4,1,22
59,61,1,1,1,21
29,45,1,2,0,35
65,61,1,1,0,58
41,52,1,2,0,36
48,29,0,1,0,56
56,45,0,3,0,43
66,61,0,2,1,10
40,34,0,1,0,66
66,63,0,4,0,54
43,47,0,2,0,56
89,68,1,1,1,68
40,50,1,1,0,57
59,56,1,1,1,21
58,53,0,3,1,73
41,43,0,3,0,4
62,65,0,1,1,25
38,51,1,2,1,3
51,50,1,1,1,37
66,74,1,4,0,19
44,50,0,1,0,14
66,51,0,1,1,28
56,65,1,3,0,43
61,49,1,2,0,12
64,69,1,4,1,47
69,41,0,1,1,2
55,45,1,3,1,3
53,58,1,1,0,74
50,62,0,4,0,1
54,55,0,1,0,76
68,54,1,1,0,58
40,38,1,4,1,15
37,38,1,3,0,64
76,69,0,4,0,65
61,45,1,4,0,58
55,67,0,1,0,64
61,59,0,1,0,56
55,57,1,2,1,73
68,72,1,3,1,21
52,40,1,1,0,49
64,65,0,3,0,57
59,37,1,4,1,44
24,28,0,2,0,4
62,75,0,1,0,76
52,45,1,2,1,62
29,26,0,1,1,79
67,36,1,2,0,16
49,39,0,2,1,69
57,56,1,1,0,49
52,43,1,3,1,51
55,36,0,2,0,13
60,64,0,2,0,39
85,64,1,3,1,61
58,55,0,2,0,49
60,47,1,4,1,34
60,43,1,2,1,25
63,52,0,3,1,27
47,54,1,4,0,66
69,51,1,3,1,44
49,42,1,1,1,34
54,27,1,4,1,48
61,58,0,1,1,73
58,59,1,2,0,43
65,59,1,3,0,72
45,50,0,4,1,62
57,48,0,3,0,16
73,59,1,4,0,72
56,48,1,2,1,47
73,49,1,4,1,24
57,66,1,4,0,6
40,40,0,3,0,74
49,44,0,1,0,43
77,54,1,2,0,16
45,34,0,3,0,56
64,33,1,2,1,10
63,61,0,2,0,54
76,48,1,2,1,61
56,61,0,3,1,34
69,41,1,4,1,25
45,39,1,1,0,14
72,59,0,1,0,56
37,46,0,4,0,35
55,32,0,3,1,10
74,55,0,3,0,58
87,78,1,4,1,37
59,46,1,4,1,10
79,66,1,4,1,48
39,59,0,4,0,49
40,45,1,3,0,1
89,68,1,3,1,68
67,46,1,3,0,16
43,44,1,3,1,63
43,48,1,2,1,34
45,54,1,1,0,80
46,51,0,4,1,30
59,53,1,4,1,33
65,60,0,4,1,20
51,57,1,4,0,1
49,43,0,1,1,69
76,58,0,3,0,16
63,45,1,1,0,60
89,63,1,3,0,13
55,39,0,2,1,48
56,47,0,4,0,56
46,37,1,2,1,29
52,39,1,4,1,51
43,50,0,1,0,64
81,78,1,1,0,76
48,58,0,1,0,35
61,71,1,1,0,8
55,47,1,2,0,45
62,78,1,4,1,32
49,25,1,4,1,77
56,48,0,2,1,10
41,49,1,1,0,12
52,49,0,1,1,22
57,58,1,2,0,57
55,51,1,4,0,54
66,58,0,4,0,36
44,41,1,3,1,18
61,65,1,1,0,23
57,43,1,3,1,15
69,53,0,4,1,47
68,48,1,2,1,22
52,47,1,1,0,14
60,39,0,4,1,40
36,36,0,1,0,23
78,60,0,1,1,28
65,62,1,3,0,72
44,17,1,3,0,66
63,63,0,2,1,73
53,46,1,2,1,20
53,54,1,3,0,57
53,44,0,2,1,5
41,44,0,4,1,71
61,49,1,4,1,62
47,38,0,4,1,37
63,66,1,3,0,8
81,50,1,4,1,2
68,47,0,4,0,38
70,72,1,4,0,23
56,76,0,2,1,32
70,67,1,2,0,65
62,49,0,3,1,53
64,59,1,1,0,42
61,54,1,3,0,11
59,63,1,1,1,32
59,39,1,4,1,53
44,28,1,1,0,39
53,25,0,4,0,78
56,45,1,2,1,33
58,49,1,2,1,63
57,65,1,3,1,3
75,77,1,4,1,25
50,24,0,2,1,30
62,45,1,2,0,13
59,55,1,1,0,49
59,58,0,4,1,79
51,60,0,2,0,4
68,54,1,4,1,2
43,37,0,4,0,31
57,47,1,4,1,34
58,36,0,1,1,70
45,59,1,1,0,1
52,66,1,1,1,63
41,36,0,1,0,52
61,46,0,2,1,17
63,44,1,4,0,26
48,56,0,3,0,4
47,50,0,4,0,45
75,69,0,4,1,10
71,74,0,2,1,75
48,61,0,1,1,34
71,59,1,3,0,60
49,57,1,1,0,12
63,52,0,3,0,41
47,42,0,2,0,41
61,53,1,2,0,39
50,39,1,3,0,16
44,56,0,2,0,74
88,78,0,4,0,72
52,42,1,1,0,60
33,44,0,4,1,63
65,54,0,3,1,70
50,32,0,4,1,28
51,23,1,2,1,68
59,51,0,2,1,10
91,71,1,1,1,37
52,44,1,1,1,59
68,50,1,2,0,43
47,36,0,4,0,6
38,25,0,4,0,4
58,53,0,2,0,39
43,31,1,4,0,41
52,46,0,4,0,36
53,52,0,1,0,23
43,43,1,4,0,80
66,61,1,3,0,65
51,32,0,3,0,4
60,59,0,3,0,60
68,43,0,1,1,10
73,61,0,1,1,47
71,47,1,3,1,48
43,38,1,4,0,74
50,43,1,4,0,4
67,57,1,3,0,38
67,53,0,3,0,80
73,47,0,3,1,48
46,36,0,3,1,33
59,51,0,3,0,13
61,73,0,4,1,77
75,54,1,2,1,48
46,59,1,3,0,64
47,41,1,4,0,74
42,46,0,3,0,78
70,44,1,4,1,9
48,60,1,4,1,75
49,50,1,4,1,53
57,56,0,3,0,66
44,54,0,1,1,71
55,47,1,2,0,65
47,43,0,3,1,5
67,47,1,4,1,59
61,57,0,2,1,28
58,51,0,4,0,58
34,50,1,4,0,11
72,57,1,4,0,8
67,61,0,1,0,6
61,65,1,3,0,1
65,57,0,2,1,17
61,44,1,1,0,43
50,54,0,2,0,1
53,41,1,1,0,60
60,57,0,4,0,45
52,40,0,4,0,74
60,59,0,4,0,6
51,55,0,4,1,79
55,40,1,1,0,41
54,37,0,2,0,31
48,39,0,4,0,45
59,46,0,2,1,40
57,49,1,4,1,21
32,27,1,2,0,66
50,59,0,4,1,37
56,42,0,2,0,41
50,54,0,4,1,73
61,66,0,3,0,52
63,49,0,1,0,64
63,49,1,3,1,69
66,45,1,2,0,76
74,67,0,2,1,63
39,56,0,1,0,45
66,57,1,3,1,55
57,51,0,1,1,47
82,71,1,3,1,37
55,51,0,2,1,20
61,46,0,4,1,10
73,66,1,3,1,67
66,51,1,4,1,67
74,45,1,4,1,2
70,57,0,1,1,59
53,51,0,2,0,56
70,72,1,4,1,70
61,55,1,2,0,19
73,78,0,3,0,39
48,51,0,1,0,74
38,31,0,2,0,74
32,19,1,4,0,66
50,38,0,1,0,6
34,30,0,1,1,71
29,27,1,3,1,32
61,69,0,2,1,29
75,32,0,1,1,28
53,69,1,4,0,64
72,58,0,4,1,68
46,41,1,3,0,76
38,52,0,1,1,34
57,31,1,4,1,37
71,64,0,3,1,70
58,60,1,4,1,21
58,42,0,1,1,48
54,44,1,2,1,25
69,38,0,1,1,25
52,57,0,4,1,25
53,55,1,4,1,77
46,39,1,1,0,6
81,57,0,1,1,51
57,42,1,1,1,10
89,71,1,3,1,44
68,38,1,3,0,31
61,55,1,4,1,5
67,61,0,1,1,5
65,68,0,1,1,61
51,53,0,3,0,56
61,62,1,1,0,31
58,49,1,3,1,27
38,49,0,4,1,20
68,56,1,2,1,47
52,34,0,1,0,76
79,74,0,2,1,59
56,43,0,2,0,38
48,54,0,1,0,12
52,59,1,2,1,32
59,50,0,3,0,78
49,33,0,4,0,14
49,51,0,4,0,45
74,63,0,2,1,53
60,50,0,1,1,47
54,40,0,3,0,41
44,35,1,1,1,30
39,38,1,2,0,31
51,46,0,4,0,1
57,64,1,3,0,41
51,48,0,2,1,73
75,57,1,4,1,77
76,79,0,3,1,10
51,48,1,3,0,74
42,46,1,1,1,30
51,48,1,1,0,11
42,33,1,4,1,63
57,26,0,2,0,41
65,41,1,4,1,68
54,56,1,2,0,76
76,55,1,4,1,50
59,61,0,2,0,64
61,44,0,2,0,41
60,58,1,2,0,46
46,43,0,4,1,62
67,56,0,2,1,40
48,49,0,2,0,45
47,41,1,3,1,51
40,41,0,1,1,25
66,47,0,1,1,10
49,43,1,1,0,4
41,41,1,1,0,14
57,44,0,2,1,21
72,65,1,4,0,72
47,52,0,3,0,46
70,55,1,4,1,70
80,84,0,4,0,76
78,44,0,3,1,2
50,53,1,1,0,23
57,43,1,3,1,20
64,42,1,1,0,58
64,50,0,3,0,42
73,67,1,4,1,10
51,48,1,1,1,29
45,46,0,1,0,66
33,42,0,1,0,46
67,59,1,2,1,70
59,59,1,3,1,62
74,51,1,3,1,18
56,63,0,4,0,19
64,58,1,1,1,29
55,29,1,4,1,69
46,61,1,3,1,9
54,58,0,4,0,52
52,38,0,3,1,37
43,34,0,4,0,65
61,58,1,4,0,52
73,66,0,2,1,69
33,43,1,2,1,79
65,53,1,4,0,13
63,49,0,3,1,51
29,38,0,1,0,6
61,59,0,2,0,56
45,37,1,1,0,42
49,65,0,3,0,4
65,56,1,1,0,57
33,50,1,1,0,66
47,40,1,1,1,32
54,35,0,4,0,80
56,57,1,2,0,41
39,36,0,3,0,52
98,65,1,2,1,68
50,43,1,2,1,53
52,44,0,4,1,50
53,59,0,2,1,5
41,60,0,1,0,52
57,53,0,2,1,50
50,42,1,2,1,29
54,56,1,1,1,20
59,39,1,3,0,13
54,31,0,3,1,33
65,60,0,2,1,24
64,51,0,3,1,44
49,46,1,2,0,45
50,44,1,3,0,78
59,46,1,3,0,23
37,39,0,3,0,80
53,46,1,1,1,5
58,33,1,3,0,36
64,37,1,2,1,2
72,46,0,2,1,18
54,45,1,4,0,78
62,34,0,3,0,42
61,49,1,1,1,9
56,27,0,3,1,9
55,41,1,4,1,59
62,43,0,3,1,73
54,38,1,3,0,41
66,64,1,2,0,23
61,48,0,4,0,8
70,65,0,4,1,44
70,47,1,4,1,17
66,44,1,2,1,5
62,46,0,4,1,50
47,29,1,1,0,11
48,63,1,3,0,52
61,41,1,1,1,55
57,46,0,1,1,15
43,30,0,2,0,7
53,23,1,2,1,55
81,57,0,1,1,28
54,53,0,2,0,41
52,40,0,2,1,44
52,43,0,4,1,32
36,64,0,3,1,79
53,41,1,4,1,40
75,63,0,2,0,65
55,54,1,1,0,54
57,49,0,4,1,17
54,36,1,3,0,26
60,35,0,3,1,68
46,23,1,4,0,49
54,62,0,3,0,12
46,56,0,2,0,8
68,52,1,2,1,59
42,52,0,4,0,4
60,44,0,2,1,22
62,50,1,1,1,44
61,58,0,3,1,37
56,55,1,4,0,76
67,40,1,2,1,10
38,50,1,3,0,46
33,48,0,1,1,75
43,40,0,2,0,12
34,39,1,3,0,11
78,56,0,3,1,18
56,52,1,3,1,10
57,46,0,3,1,17
38,15,1,4,1,47
43,40,1,3,1,75
56,43,0,1,0,78
60,59,1,1,1,15
64,60,1,3,0,45
62,49,1,3,1,34
63,63,0,3,0,80
60,59,1,4,1,5
54,62,0,4,0,74
57,58,0,1,0,36
30,43,1,1,0,14
